,title,category,,
55,Solver-Informed RL: Grounding Large Language Models for Authentic Optimization Modeling,reasoning_improvement,,
56,Evaluating the Logical Reasoning Abilities of Large Reasoning Models,reasoning_improvement,,
57,When AI Co-Scientists Fail: SPOT-a Benchmark for Automated Verification of Scientific Research,neither,,
58,A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,both,,
59,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,neither,,
60,SAS-Bench: A Fine-Grained Benchmark for Evaluating Short Answer Scoring with Large Language Models,reasoning_improvement,,
61,Multilingual Machine Translation with Quantum Encoder Decoder Attention-based Convolutional Variational Circuits,neither,,
62,Connecting the Dots: A Chain-of-Collaboration Prompting Framework for LLM Agents,reasoning_improvement,,
63,Reasoning with OmniThought: A Large CoT Dataset with Verbosity and Cognitive Difficulty Annotations,both,,
64,GuardReasoner-VL: Safeguarding VLMs via Reinforced Reasoning,reasoning_improvement,,
65,InfantAgent-Next: A Multimodal Generalist Agent for Automated Computer Interaction,neither,,
66,EffiBench-X: A Multi-Language Benchmark for Measuring Efficiency of LLM-Generated Code,neither,,
67,Walking the Tightrope: Disentangling Beneficial and Detrimental Drifts in Non-Stationary Custom-Tuning,neither,,
68,Natural Language Planning via Coding and Inference Scaling,reasoning_improvement,,
69,HeteroSpec: Leveraging Contextual Heterogeneity for Efficient Speculative Decoding,chain_of_thought_reduction,,
70,Incentivizing Dual Process Thinking for Efficient Large Language Model Reasoning,reasoning_improvement,,
71,Raw2Drive: Reinforcement Learning with Aligned World Models for End-to-End Autonomous Driving (in CARLA v2),neither,,
72,Distilling the Implicit Multi-Branch Structure in LLMs' Reasoning via Reinforcement Learning,reasoning_improvement,,
73,SynLogic: Synthesizing Verifiable Reasoning Data at Scale for Learning Logical Reasoning and Beyond,reasoning_improvement,,
74,EuroCon: Benchmarking Parliament Deliberation for Political Consensus Finding,neither,,
75,Effective and Transparent RAG: Adaptive-Reward Reinforcement Learning for Decision Traceability,reasoning_improvement,,
76,Memorization or Reasoning? Exploring the Idiom Understanding of LLMs,reasoning_improvement,,
77,Pixel Reasoner: Incentivizing Pixel-Space Reasoning with Curiosity-Driven Reinforcement Learning,reasoning_improvement,,
78,LightRouter: Towards Efficient LLM Collaboration with Minimal Overhead,neither,,
79,NTIRE 2025 challenge on Text to Image Generation Model Quality Assessment,neither,,
80,Crosslingual Reasoning through Test-Time Scaling,reasoning_improvement,,
81,DSDrive: Distilling Large Language Model for Lightweight End-to-End Autonomous Driving with Unified Reasoning and Planning,both,,
82,Reasoning Models Don't Always Say What They Think,neither,,
83,Quantum State Preparation via Large-Language-Model-Driven Evolution,neither,,
84,REMEDI: Relative Feature Enhanced Meta-Learning with Distillation for Imbalanced Prediction,neither,,
85,CaseEdit: Enhancing Localized Commonsense Reasoning via Null-Space Constrained Knowledge Editing in Small Parameter Language Models,reasoning_improvement,,
86,Automated Text-to-Table for Reasoning-Intensive Table QA: Pipeline Design and Benchmarking Insights,reasoning_improvement,,
87,TCP: a Benchmark for Temporal Constraint-Based Planning,neither,,
88,SituatedThinker: Grounding LLM Reasoning with Real-World through Situated Thinking,reasoning_improvement,,
89,Let Me Think! A Long Chain-of-Thought Can Be Worth Exponentially Many Short Ones,both,,
90,VIRAL: Vision-grounded Integration for Reward design And Learning,neither,,
91,On-Policy RL with Optimal Reward Baseline,neither,,
92,DeepTheorem: Advancing LLM Reasoning for Theorem Proving Through Natural Language and Reinforcement Learning,reasoning_improvement,,
93,ZeroGUI: Automating Online GUI Learning at Zero Human Cost,neither,,
94,Beyond 'Aha!': Toward Systematic Meta-Abilities Alignment in Large Reasoning Models,reasoning_improvement,,
95,Can Large Reasoning Models Self-Train?,reasoning_improvement,,
96,Beyond Chemical QA: Evaluating LLM's Chemical Reasoning with Modular Chemical Operations,reasoning_improvement,,
97,THINK-Bench: Evaluating Thinking Efficiency and Chain-of-Thought Quality of Large Reasoning Models,both,,
98,Vid2World: Crafting Video Diffusion Models to Interactive World Models,neither,,
99,"ThinkSwitcher: When to Think Hard, When to Think Fast",both,,
100,MathCoder-VL: Bridging Vision and Code for Enhanced Multimodal Mathematical Reasoning,reasoning_improvement,,
101,Parallel Scaling Law for Language Models,neither,,
102,Table-R1: Region-based Reinforcement Learning for Table Understanding,neither,,
103,"IQBench: How ""Smart'' Are Vision-Language Models? A Study with Human IQ Tests",reasoning_improvement,,
104,VisionReasoner: Unified Visual Perception and Reasoning via Reinforcement Learning,reasoning_improvement,,
105,EfficientLLM: Efficiency in Large Language Models,chain_of_thought_reduction,,
106,Let's Verify Math Questions Step by Step,reasoning_improvement,,
107,Is Your Prompt Safe? Investigating Prompt Injection Attacks Against Open-Source LLMs,neither,,
108,ThinkLess: A Training-Free Inference-Efficient Method for Reducing Reasoning Redundancy,chain_of_thought_reduction,,
109,Feature Extraction and Steering for Enhanced Chain-of-Thought Reasoning in Language Models,reasoning_improvement,,
110,Discovering Pathology Rationale and Token Allocation for Efficient Multimodal Pathology Reasoning,reasoning_improvement,,
111,Toward Open Earth Science as Fast and Accessible as Natural Language,neither,,
112,Thought-Augmented Policy Optimization: Bridging External Guidance and Internal Capabilities,both,,
113,Be Careful When Fine-tuning On Open-Source LLMs: Your Fine-tuning Data Could Be Secretly Stolen!,neither,,
114,Beyond Keywords: Evaluating Large Language Model Classification of Nuanced Ableism,neither,,
115,Model Merging in Pre-training of Large Language Models,neither,,
116,O$^2$-Searcher: A Searching-based Agent Model for Open-Domain Open-Ended Question Answering,neither,,
117,ManuSearch: Democratizing Deep Search in Large Language Models with a Transparent and Open Multi-Agent Framework,neither,,
118,Few-Shot Learning from Gigapixel Images via Hierarchical Vision-Language Alignment and Modeling,neither,,
119,AutoJudger: An Agent-Driven Framework for Efficient Benchmarking of MLLMs,neither,,
120,Are Reasoning Models More Prone to Hallucination?,neither,,
121,Continuous Chain of Thought Enables Parallel Exploration and Reasoning,both,,
122,NeSyGeo: A Neuro-Symbolic Framework for Multimodal Geometric Reasoning Data Generation,reasoning_improvement,,
123,MTR-Bench: A Comprehensive Benchmark for Multi-Turn Reasoning Evaluation,reasoning_improvement,,
124,Generalizing Large Language Model Usability Across Resource-Constrained,neither,,
125,"Tsai, Yun-Da",neither,,
126,Knowledge Augmented Complex Problem Solving with Large Language Models: A Survey,reasoning_improvement,,
127,Memorization-Compression Cycles Improve Generalization,reasoning_improvement,,
128,"Yu, Fangyuan",neither,,
129,Self-GIVE: Associative Thinking from Limited Structured Knowledge for Enhanced Large Language Model Reasoning,reasoning_improvement,,
130,Accelerating RL for LLM Reasoning with Optimal Advantage Regression,reasoning_improvement,,
131,Trans-EnV: A Framework for Evaluating the Linguistic Robustness of LLMs Against English Varieties,neither,,
132,Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,neither,,
133,Large Language Models for IT Automation Tasks: Are We There Yet?,neither,,
134,rStar-Coder: Scaling Competitive Code Reasoning with a Large-Scale Verified Dataset,reasoning_improvement,,
135,Language Specific Knowledge: Do Models Know Better in X than in English?,neither,,
136,Learning from Algorithm Feedback: One-Shot SAT Solver Guidance with GNNs,reasoning_improvement,,
137,$\text{R}^2\text{ec}$: Towards Large Recommender Models with Reasoning,reasoning_improvement,,
138,Latent Principle Discovery for Language Model Self-Improvement,reasoning_improvement,,
139,LARES: Latent Reasoning for Sequential Recommendation,reasoning_improvement,,
140,Compliance-to-Code: Enhancing Financial Compliance Checking via Code Generation,neither,,
141,A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,reasoning_improvement,,
142,"Li, Yuanpeng",neither,,
143,Flow-GRPO: Training Flow Matching Models via Online RL,neither,,
144,DeepMath-Creative: A Benchmark for Evaluating Mathematical Creativity of Large Language Models,reasoning_improvement,,
145,X-MAS: Towards Building Multi-Agent Systems with Heterogeneous LLMs,neither,,
146,Do Large Language Models Excel in Complex Logical Reasoning with Formal Language?,reasoning_improvement,,
147,MPO: Multilingual Safety Alignment via Reward Gap Optimization,neither,,
148,Error Typing for Smarter Rewards: Improving Process Reward Models with Error-Aware Hierarchical Supervision,reasoning_improvement,,
149,Chain-of-Thought for Autonomous Driving: A Comprehensive Survey and Future Prospects,neither,,
150,NurValues: Real-World Nursing Values Evaluation for Large Language Models in Clinical Context,neither,,
151,SecReEvalBench: A Multi-turned Security Resilience Evaluation Benchmark for Large Language Models,neither,,
152,DRP: Distilled Reasoning Pruning with Skill-aware Step Decomposition for Efficient Large Reasoning Models,both,,
153,Think-J: Learning to Think for Generative LLM-as-a-Judge,reasoning_improvement,,
154,"Interpretable Traces, Unexpected Outcomes: Investigating the Disconnect in Trace-Based Knowledge Distillation",neither,,
155,Scent of Knowledge: Optimizing Search-Enhanced Reasoning with Information Foraging,reasoning_improvement,,
156,Qwen3 Technical Report,neither,,
157,Fractured Chain-of-Thought Reasoning,reasoning_improvement,,
158,ExTrans: Multilingual Deep Reasoning Translation via Exemplar-Enhanced Reinforcement Learning,reasoning_improvement,,
159,Robust LLM Fingerprinting via Domain-Specific Watermarks,neither,,
160,Code2Logic: Game-Code-Driven Data Synthesis for Enhancing VLMs General Reasoning,reasoning_improvement,,
161,The Hallucination Tax of Reinforcement Finetuning,neither,,
162,Towards eliciting latent knowledge from LLMs with mechanistic interpretability,reasoning_improvement,,
163,Mapping the Minds of LLMs: A Graph-Based Analysis of Reasoning LLM,reasoning_improvement,,
164,WirelessMathBench: A Mathematical Modeling Benchmark for LLMs in Wireless Communications,neither,,
165,Do Large Language Models (Really) Need Statistical Foundations?,neither,,
166,Shifting AI Efficiency From Model-Centric to Data-Centric Compression,neither,,
167,GRE Suite: Geo-localization Inference via Fine-Tuned Vision-Language Models and Enhanced Reasoning Chains,reasoning_improvement,,
168,Evaluating Text Creativity across Diverse Domains: A Dataset and Large Language Model Evaluator,neither,,
169,The Coverage Principle: A Framework for Understanding Compositional Generalization,reasoning_improvement,,
170,SlangDIT: Benchmarking LLMs in Interpretative Slang Translation,neither,,
171,Large Language Models in the Task of Automatic Validation of Text Classifier Predictions,neither,,
172,"Tsymbalov, Aleksandr",neither,,
173,System-1.5 Reasoning: Traversal in Language and Latent Spaces with Dynamic Shortcuts,reasoning_improvement,,
174,Benchmarking and Rethinking Knowledge Editing for Large Language Models,neither,,
175,Reasoning Beyond Language: A Comprehensive Survey on Latent Chain-of-Thought Reasoning,reasoning_improvement,,
176,Can reasoning models comprehend mathematical problems in Chinese ancient texts? An empirical study based on data from Suanjing Shishu,reasoning_improvement,,
177,R1-ShareVL: Incentivizing Reasoning Capability of Multimodal Large Language Models via Share-GRPO,reasoning_improvement,,
178,DeepRec: Towards a Deep Dive Into the Item Space with Large Language Model Based Recommendation,neither,,
179,Learning to Route Queries Across Knowledge Bases for Step-wise Retrieval-Augmented Reasoning,reasoning_improvement,,
180,Risk-aware Direct Preference Optimization under Nested Risk Measure,neither,,
181,Temporal Sampling for Forgotten Reasoning in LLMs,reasoning_improvement,,
182,Open-Det: An Efficient Learning Framework for Open-Ended Detection,neither,,
183,SPA-RL: Reinforcing LLM Agents via Stepwise Progress Attribution,reasoning_improvement,,
184,Reasoning Is Not All You Need: Examining LLMs for Multi-Turn Mental Health Conversations,reasoning_improvement,,
185,Can Past Experience Accelerate LLM Reasoning?,reasoning_improvement,,
186,HCQA-1.5 @ Ego4D EgoSchema Challenge 2025,neither,,
187,Silencer: From Discovery to Mitigation of Self-Bias in LLM-as-Benchmark-Generator,neither,,
188,MCP Safety Training: Learning to Refuse Falsely Benign MCP Exploits using Improved Preference Alignment,reasoning_improvement,,
189,"Halloran, John",neither,,
190,Lossless Compression of Large Language Model-Generated Text via Next-Token Prediction,neither,,
191,The Tower of Babel Revisited: Multilingual Jailbreak Prompts on Closed-Source Large Language Models,neither,,
192,EduBench: A Comprehensive Benchmarking Dataset for Evaluating Large Language Models in Diverse Educational Scenarios,neither,,
193,Attributing Response to Context: A Jensen-Shannon Divergence Driven Mechanistic Study of Context Attribution in Retrieval-Augmented Generation,reasoning_improvement,,
194,SridBench: Benchmark of Scientific Research Illustration Drawing of Image Generation Model,neither,,
195,Towards A Generalist Code Embedding Model Based On Massive Data Synthesis,neither,,
196,IDEAL: Data Equilibrium Adaptation for Multi-Capability Language Model Alignment,neither,,
197,Efficient Agent Training for Computer Use,neither,,
198,T2I-Eval-R1: Reinforcement Learning-Driven Reasoning for Interpretable Text-to-Image Evaluation,reasoning_improvement,,
199,Semantic segmentation with reward,neither,,
200,Pretraining Language Models to Ponder in Continuous Space,reasoning_improvement,,
201,Let's Predict Sentence by Sentence,neither,,
202,Pitfalls of Rule- and Model-based Verifiers -- A Case Study on Mathematical Reasoning,reasoning_improvement,,
203,Let's Reason Formally: Natural-Formal Hybrid Reasoning Enhances LLM's Math Capability,reasoning_improvement,,
204,SocialMaze: A Benchmark for Evaluating Social Reasoning in Large Language Models,reasoning_improvement,,
205,Characterizing Bias: Benchmarking Large Language Models in Simplified versus Traditional Chinese,neither,,
206,WebDancer: Towards Autonomous Information Seeking Agency,neither,,
207,Sherlock: Self-Correcting Reasoning in Vision-Language Models,reasoning_improvement,,
208,Self-Reflective Reinforcement Learning for Diffusion-based Image Reasoning Generation,reasoning_improvement,,
209,Table-R1: Inference-Time Scaling for Table Reasoning,reasoning_improvement,,
210,Don't Take the Premise for Granted: Evaluating the Premise Critique Ability of Large Language Models,reasoning_improvement,,
211,ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering,neither,,
212,PixelThink: Towards Efficient Chain-of-Pixel Reasoning,chain_of_thought_reduction,,
213,Spatial-MLLM: Boosting MLLM Capabilities in Visual-based Spatial Intelligence,reasoning_improvement,,
214,Unified Multimodal Chain-of-Thought Reward Model through Reinforcement Fine-Tuning,reasoning_improvement,,
215,Recall with Reasoning: Chain-of-Thought Distillation for Mamba's Long-Context Memory and Extrapolation,both,,
216,LogisticsVLN: Vision-Language Navigation For Low-Altitude Terminal Delivery Based on Agentic UAVs,neither,,
217,Long-Short Chain-of-Thought Mixture Supervised Fine-Tuning Eliciting Efficient Reasoning in Large Language Models,both,,
218,Omni-R1: Do You Really Need Audio to Fine-Tune Your Audio LLM?,neither,,
219,A Multi-Dimensional Constraint Framework for Evaluating and Improving Instruction Following in Large Language Models,reasoning_improvement,,
220,WavReward: Spoken Dialogue Models With Generalist Reward Evaluators,neither,,
221,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,neither,,
222,Scaling Reasoning can Improve Factuality in Large Language Models,reasoning_improvement,,
223,MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,reasoning_improvement,,
224,Human-Aligned Bench: Fine-Grained Assessment of Reasoning Ability in MLLMs vs. Humans,reasoning_improvement,,
225,Daily-Omni: Towards Audio-Visual Reasoning with Temporal Alignment across Modalities,reasoning_improvement,,
226,"Language models can learn implicit multi-hop reasoning, but only if they have lots of training data",reasoning_improvement,,
227,Towards Analyzing and Understanding the Limitations of VAPO: A Theoretical Perspective,neither,,
228,Collision- and Reachability-Aware Multi-Robot Control with Grounded LLM Planners,reasoning_improvement,,
229,Ctrl-DNA: Controllable Cell-Type-Specific Regulatory DNA Design via Constrained RL,neither,,
230,Can Large Language Models Correctly Interpret Equations with Errors?,reasoning_improvement,,
231,Group-in-Group Policy Optimization for LLM Agent Training,neither,,
232,J4R: Learning to Judge with Equivalent Initial State Group Relative Policy Optimization,neither,,
233,Optimizing Anytime Reasoning via Budget Relative Policy Optimization,reasoning_improvement,,
234,SeedBench: A Multi-task Benchmark for Evaluating Large Language Models in Seed Science,neither,,
235,RBF++: Quantifying and Optimizing Reasoning Boundaries across Measurable and Unmeasurable Capabilities for Chain-of-Thought Reasoning,both,,
236,Seek in the Dark: Reasoning via Test-Time Instance-Level Policy Gradient in Latent Space,reasoning_improvement,,
237,"Trust, But Verify: A Self-Verification Approach to Reinforcement Learning with Verifiable Rewards",reasoning_improvement,,
238,GUARD: Generation-time LLM Unlearning via Adaptive Restriction and Detection,neither,,
239,Thinking Short and Right Over Thinking Long: Serving LLM Reasoning Efficiently and Accurately,chain_of_thought_reduction,,
240,Self-Route: Automatic Mode Switching via Capability Estimation for Efficient Reasoning,reasoning_improvement,,
241,DriveRX: A Vision-Language Reasoning Model for Cross-Task Autonomous Driving,reasoning_improvement,,
242,Beyond path selection: Better LLMs for Scientific Information Extraction with MimicSFT and Relevance and Rule-induced(R$^2$)GRPO,reasoning_improvement,,
243,Adaptive Detoxification: Safeguarding General Capabilities of LLMs through Toxicity-Aware Knowledge Editing,neither,,
244,Reinforcement Learning for Out-of-Distribution Reasoning in LLMs: An Empirical Study on Diagnosis-Related Group Coding,reasoning_improvement,,
245,"Caption This, Reason That: VLMs Caught in the Middle",neither,,
246,From Large AI Models to Agentic AI: A Tutorial on Future Intelligent Communications,neither,,
247,Skywork Open Reasoner 1 Technical Report,neither,,
248,Zooming from Context to Cue: Hierarchical Preference Optimization for Multi-Image MLLMs,reasoning_improvement,,
249,Segment Policy Optimization: Effective Segment-Level Credit Assignment in RL for Large Language Models,reasoning_improvement,,
250,Neither Stochastic Parroting nor AGI: LLMs Solve Tasks through Context-Directed Extrapolation from Training Data Priors,reasoning_improvement,,
251,VAU-R1: Advancing Video Anomaly Understanding via Reinforcement Fine-Tuning,neither,,
252,CoT Red-Handed: Stress Testing Chain-of-Thought Monitoring,reasoning_improvement,,
253,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,reasoning_improvement,,
254,A Mathematical Framework for AI-Human Integration in Work,neither,,
255,Learning Like Humans: Advancing LLM Reasoning Capabilities via Adaptive Difficulty Curriculum Learning and Expert-Guided Self-Reformulation,reasoning_improvement,,
256,LLM-based Prompt Ensemble for Reliable Medical Entity Recognition from EHRs,neither,,
257,R2MED: A Benchmark for Reasoning-Driven Medical Retrieval,reasoning_improvement,,
258,RLVR-World: Training World Models with Reinforcement Learning,neither,,
259,DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery,reasoning_improvement,,
260,Diversity-Aware Policy Optimization for Large Language Model Reasoning,reasoning_improvement,,
261,Large Means Left: Political Bias in Large Language Models Increases with Their Number of Parameters,neither,,
262,Practical Reasoning Interruption Attacks on Reasoning Large Language Models,neither,,
263,BioProBench: Comprehensive Dataset and Benchmark in Biological Protocol Understanding and Reasoning,neither,,
264,Fusing Bidirectional Chains of Thought and Reward Mechanisms A Method for Enhancing Question-Answering Capabilities of Large Language Models for Chinese Intangible Cultural Heritage,reasoning_improvement,,
265,Keep Security! Benchmarking Security Policy Preservation in Large Language Model Contexts Against Indirect Attacks in Question Answering,neither,,
266,InfoDeepSeek: Benchmarking Agentic Information Seeking for Retrieval-Augmented Generation,neither,,
267,MMaDA: Multimodal Large Diffusion Language Models,neither,,
268,GUI-G1: Understanding R1-Zero-Like Training for Visual Grounding in GUI Agents,neither,,
269,L-MTP: Leap Multi-Token Prediction Beyond Adjacent Context for Large Language Models,neither,,
270,Align and Surpass Human Camouflaged Perception: Visual Refocus Reinforcement Fine-Tuning,neither,,
271,Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making,reasoning_improvement,,
272,Expert Survey: AI Reliability & Security Research Priorities,neither,,
273,SIMCOPILOT: Evaluating Large Language Models for Copilot-Style Code Generation,neither,,
274,TEMPURA: Temporal Event Masked Prediction and Understanding for Reasoning in Action,reasoning_improvement,,
275,Unearthing Gems from Stones: Policy Optimization with Negative Sample Augmentation for LLM Reasoning,reasoning_improvement,,
276,Trajectory Bellman Residual Minimization: A Simple Value-Based Method for LLM Reasoning,reasoning_improvement,,
277,VARD: Efficient and Dense Fine-Tuning for Diffusion Models with Value-based RL,neither,,
278,HCRMP: A LLM-Hinted Contextual Reinforcement Learning Framework for Autonomous Driving,neither,,
279,STAR-R1: Spatial TrAnsformation Reasoning by Reinforcing Multimodal LLMs,reasoning_improvement,,
280,On the Design of KL-Regularized Policy Gradient Algorithms for LLM Reasoning,reasoning_improvement,,
281,Discovering Forbidden Topics in Language Models,neither,,
282,Decoupled Visual Interpretation and Linguistic Reasoning for Math Problem Solving,reasoning_improvement,,
283,From Reasoning to Generalization: Knowledge-Augmented LLMs for ARC Benchmark,reasoning_improvement,,
284,A Survey on the Application of Large Language Models in Scenario-Based Testing of Automated Driving Systems,neither,,
285,Always Tell Me The Odds: Fine-grained Conditional Probability Estimation,reasoning_improvement,,
286,Reliably Bounding False Positives: A Zero-Shot Machine-Generated Text Detection Framework via Multiscaled Conformal Prediction,neither,,
287,Putting the Value Back in RL: Better Test-Time Scaling by Unifying LLM Reasoners With Verifiers,reasoning_improvement,,
288,Learning to Think: Information-Theoretic Reinforcement Fine-Tuning for LLMs,reasoning_improvement,,
289,A Data Synthesis Method Driven by Large Language Models for Proactive Mining of Implicit User Intentions in Tourism,neither,,
290,UNJOIN: Enhancing Multi-Table Text-to-SQL Generation via Schema Simplification,reasoning_improvement,,
291,VTool-R1: VLMs Learn to Think with Images via Reinforcement Learning on Multimodal Tool Use,reasoning_improvement,,
292,Causal Distillation: Transferring Structured Explanations from Large to Compact Language Models,both,,
293,Towards Large Reasoning Models for Agriculture,reasoning_improvement,,
294,LIMOPro: Reasoning Refinement for Efficient and Effective Test-time Scaling,reasoning_improvement,,
295,Disentangling Reasoning and Knowledge in Medical Large Language Models,reasoning_improvement,,
296,MedGUIDE: Benchmarking Clinical Decision-Making in Large Language Models,reasoning_improvement,,
297,SLOT: Sample-specific Language Model Optimization at Test-time,reasoning_improvement,,
298,LLM-CoT Enhanced Graph Neural Recommendation with Harmonized Group Policy Optimization,reasoning_improvement,,
299,Disambiguation in Conversational Question Answering in the Era of LLM: A Survey,neither,,
300,Autocomp: LLM-Driven Code Optimization for Tensor Accelerators,neither,,
301,The Quest for Efficient Reasoning: A Data-Centric Benchmark to CoT Distillation,both,,
302,MMATH: A Multilingual Benchmark for Mathematical Reasoning,reasoning_improvement,,
303,MetaMind: Modeling Human Social Thoughts with Metacognitive Multi-Agent Systems,neither,,
304,TrajMoE: Spatially-Aware Mixture of Experts for Unified Human Mobility Modeling,neither,,
305,AppealCase: A Dataset and Benchmark for Civil Case Appeal Scenarios,neither,,
306,ManipLVM-R1: Reinforcement Learning for Reasoning in Embodied Manipulation with Large Vision-Language Models,reasoning_improvement,,
307,MMMR: Benchmarking Massive Multi-Modal Reasoning Tasks,reasoning_improvement,,
308,University of Indonesia at SemEval-2025 Task 11: Evaluating State-of-the-Art Encoders for Multi-Label Emotion Detection,neither,,
309,Is (Selective) Round-To-Nearest Quantization All You Need?,neither,,
310,Advancing Multimodal Reasoning via Reinforcement Learning with Cold Start,reasoning_improvement,,
311,Judging Quality Across Languages: A Multilingual Approach to Pretraining Data Filtering with Language Models,neither,,
312,Defining Foundation Models for Computational Science: A Call for Clarity and Rigor,neither,,
313,AdaCtrl: Towards Adaptive and Controllable Reasoning via Difficulty-Aware Budgeting,reasoning_improvement,,
