title,filename,is_relevant,one_line_review,labels,,,
beyond-pattern-recognition-probing-mental-representations-of-lms.pdf,beyond-pattern-recognition-probing-mental-representations-of-lms.pdf,False,The paper focuses on assessing the mental modeling of language models rather than improving computational efficiency or reducing redundancy in chain-of-thought reasoning.,"Mental modeling, reasoning assessment, language models.",,,
barrel-boundary-aware-reasoning-for-factual-and-reliable-lrms.pdf,barrel-boundary-aware-reasoning-for-factual-and-reliable-lrms.pdf,False,The paper focuses on improving the factual reliability of Large Reasoning Models (LRMs) rather than reducing redundancy or improving computational efficiency in chain-of-thought reasoning.,"Factual Reliability, Overthinking, Large Reasoning Models (LRMs)",,,
speculative-thinking-enhancing-small-model-reasoning-with-large-model-guidance-at-inference-time.pdf,speculative-thinking-enhancing-small-model-reasoning-with-large-model-guidance-at-inference-time.pdf,True,The paper introduces a framework called Speculative Thinking to improve reasoning efficiency by reducing output length and enhancing accuracy without additional training.,"CoT efficiency, redundancy reduction, Speculative Thinking, reasoning models.",,,
SoTA with Less: MCTS-Guided Sample Selection for Data-Efficient Visual Reasoning Self-Improvement,sota-with-less-mcts-guided-sample-selection-for-data-efficient-visual-reasoning-self-improvement.pdf,False,The text does not provide any information about reducing redundancy in chain-of-thought reasoning or improving computational efficiency.,"References, funding, unrelated topics",,,
guardreasoner-vl-safeguarding-vlms-via-reinforced-reasoning.pdf,guardreasoner-vl-safeguarding-vlms-via-reinforced-reasoning.pdf,False,"The paper focuses on enhancing the safety of vision-language models (VLMs) through a reasoning-based guard model, not on reducing redundancy in chain-of-thought reasoning.","Safety, VLM, GuardReasoner-VL, Moderation, Reinforcement Learning",,,
visuothink-empowering-lvlm-reasoning-with-multimodal-tree-search.pdf,visuothink-empowering-lvlm-reasoning-with-multimodal-tree-search.pdf,False,The paper focuses on integrating visual and linguistic reasoning rather than improving computational efficiency in chain-of-thought reasoning.,"Vision-Language Models, Multimodal Reasoning, Visual-Textual Integration.",,,
MiMo: Unlocking the Reasoning Potential of Language Model -- From Pretraining to Posttraining,mimo-unlocking-the-reasoning-potential-of-language-model-from-pretraining-to-posttraining.pdf,False,"The paper focuses on enhancing reasoning capabilities and performance of a language model through pre-training and post-training optimizations, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Reasoning, Language Model, Pre-training, Post-training, Optimization",,,
raiden-r1-improving-role-awareness-of-llms-via-grpo-with-verifiable-reward.pdf,raiden-r1-improving-role-awareness-of-llms-via-grpo-with-verifiable-reward.pdf,False,"The paper focuses on using intrinsic feedback for reinforcement learning in language models, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Reinforcement Learning, Intrinsic Feedback, Language Models, Unsupervised Learning",,,
Reasoning Path Compression: Compressing Generation Trajectories for Efficient LLM Reasoning,concise-confidence-guided-compression-in-step-by-step-efficient-reasoning.pdf,True,The paper is about improving computational efficiency in chain-of-thought reasoning by introducing Reasoning Path Compression (RPC) to reduce redundancy.,"Reasoning Efficiency, Redundancy Reduction, Reasoning Path Compression, Semantic Sparsity, Inference Acceleration.",,,
A Survey of Scaling in Large Language Model Reasoning,a-survey-of-scaling-in-large-language-model-reasoning.pdf,False,"The paper focuses on scaling strategies to enhance reasoning capabilities in large language models, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Scaling, Reasoning, Large Language Models, Survey",,,
MMC: Iterative Refinement of VLM Reasoning via MCTS-based Multimodal Critique,mmc-iterative-refinement-of-vlm-reasoning-via-mcts-based-multimodal-critique.pdf,False,"The paper focuses on enhancing reasoning capabilities in Visual Language Models using a multimodal actor-critic framework, not specifically on CoT efficiency or redundancy reduction.","Visual Language Models, Multimodal Reasoning, Actor-Critic Framework, Monte Carlo Tree Search",,,
Enhancing Efficiency and Exploration in Reinforcement Learning for LLMs,enhancing-efficiency-and-exploration-in-reinforcement-learning-for-llms.pdf,False,"The paper focuses on improving the efficiency of reinforcement learning for large language models by dynamically allocating rollout budgets and adjusting exploration strategies, not specifically on reducing redundancy in chain-of-thought reasoning.","Reinforcement Learning, Large Language Models, Dynamic Rollout Allocation, Exploration Strategy",,,
Reasoning LLMs are Wandering Solution Explorers,reasoning-llms-are-wandering-solution-explorers.pdf,False,"The paper focuses on systematic problem solving and the exploration of solution spaces, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Systematic Problem Solving, Reasoning LLMs, Solution Space Exploration",,,
centaur-a-foundation-model-of-human-cognition.pdf,centaur-a-foundation-model-of-human-cognition.pdf,False,"The paper focuses on developing a computational model to predict human behavior, not on improving the efficiency of chain-of-thought reasoning.","cognitive modeling, human behavior prediction, language models, unified theory of cognition",,,
medxpertqa-benchmarking-expert-level-medical-reasoning-and-understanding.pdf,medxpertqa-benchmarking-expert-level-medical-reasoning-and-understanding.pdf,False,"The paper focuses on medical test recommendation using a hierarchical RAG-enhanced system, not on CoT efficiency or redundancy reduction.",Medical Test Recommendation,,,
mdk12-bench-a-multi-discipline-benchmark-for-evaluating-reasoning-in-multimodal-large-language-models.pdf,mdk12-bench-a-multi-discipline-benchmark-for-evaluating-reasoning-in-multimodal-large-language-models.pdf,False,"The paper focuses on evaluating multimodal reasoning capabilities of MLLMs, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Multimodal Reasoning, Benchmarking, MLLMs, EMMA",,,
VulBinLLM: LLM-powered Vulnerability Detection for Stripped Binaries,reasoning-with-llms-for-zero-shot-vulnerability-detection.pdf,False,"The paper focuses on using LLMs for binary vulnerability detection, not on improving CoT reasoning efficiency.","Binary Analysis, Vulnerability Detection, LLMs, Software Security",,,
fino1-on-the-transferability-of-reasoning-enhanced-llms-to-finance.pdf,fino1-on-the-transferability-of-reasoning-enhanced-llms-to-finance.pdf,False,"The paper focuses on financial reasoning with LLMs and domain-specific adaptations, not on CoT efficiency or redundancy reduction.","Financial Reasoning, Domain Adaptation, LLM Evaluation",,,
MINERVA: Evaluating Complex Video Reasoning,minerva-evaluating-complex-video-reasoning.pdf,False,"The paper focuses on creating a video reasoning dataset to evaluate multimodal models, not on improving CoT efficiency or reducing redundancy.","Video reasoning, dataset, multimodal models, error analysis.",,,
cats-confuse-reasoning-llm-query-agnostic-adversarial-triggers-for-reasoning-models.pdf,cats-confuse-reasoning-llm-query-agnostic-adversarial-triggers-for-reasoning-models.pdf,False,"The paper focuses on the robustness and vulnerabilities of reasoning models to adversarial triggers, not on improving computational efficiency or reducing redundancy in chain-of-thought reasoning.","Adversarial Triggers, Model Robustness, Reasoning Vulnerabilities",,,
ReasonFlux: Hierarchical LLM Reasoning via Scaling Thought Templates,reasonflux-hierarchical-llm-reasoning-via-scaling-thought-templates.pdf,True,The paper focuses on optimizing the reasoning search space and improving computational efficiency through hierarchical reasoning and thought templates.,"Hierarchical reasoning, thought templates, computational efficiency, LLM optimization.",,,
Why Distillation can Outperform Zero-RL: The Role of Flexible Reasoning,why-distillation-can-outperform-zero-rl-the-role-of-flexible-reasoning.pdf,False,"The paper focuses on comparing reinforcement learning and distillation methods for reasoning in language models, not specifically on CoT efficiency or redundancy reduction.","Reinforcement Learning, Distillation, Reasoning, Language Models",,,
VideoRFT: Incentivizing Video Reasoning Capability in MLLMs via Reinforced Fine-Tuning,videorft-incentivizing-video-reasoning-capability-in-mllms-via-reinforced-fine-tuning.pdf,False,"The paper focuses on enhancing video reasoning capabilities in multimodal language models, not on reducing redundancy in chain-of-thought reasoning.","Video reasoning, reinforcement fine-tuning, multimodal language models.",,,
FINEREASON: Evaluating and Improving LLMs' Deliberate Reasoning through Reflective Puzzle Solving,finereason-evaluating-and-improving-llms-deliberate-reasoning-through-reflective-puzzle-solving.pdf,False,"The paper focuses on evaluating reasoning capabilities of LLMs using a new benchmark, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Reasoning Evaluation, Logic Puzzles, System 2 Reasoning",,,
seg-zero-reasoning-chain-guided-segmentation-via-cognitive-reinforcement.pdf,seg-zero-reasoning-chain-guided-segmentation-via-cognitive-reinforcement.pdf,False,"The paper focuses on a novel framework for reasoning segmentation using cognitive reinforcement, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Reasoning Segmentation, Cognitive Reinforcement, Zero-Shot Generalization",,,
vcr-bench-a-comprehensive-evaluation-framework-for-video-chain-of-thought-reasoning.pdf,vcr-bench-a-comprehensive-evaluation-framework-for-video-chain-of-thought-reasoning.pdf,False,"The paper is about developing a video QA benchmark called VideoVista to evaluate video understanding and reasoning, not about CoT efficiency or redundancy reduction.","Video Analysis, Benchmarking, Video Understanding, Multimodal Models",,,
hackerrank-astra-evaluating-correctness-consistency-of-large-language-models-on-cross-domain-multi-file-project-problems.pdf,hackerrank-astra-evaluating-correctness-consistency-of-large-language-models-on-cross-domain-multi-file-project-problems.pdf,False,"The paper focuses on compressive summarization using data-driven criteria for deletion, not on CoT reasoning efficiency.","Compressive Summarization, Data-Driven Criteria, Plausibility, Salience",,,
adaptthink-reasoning-models-can-learn-when-to-think.pdf,adaptthink-reasoning-models-can-learn-when-to-think.pdf,True,"The paper focuses on improving reasoning efficiency by introducing AdaptThink, which reduces inference costs and enhances performance by adaptively selecting the optimal thinking mode.","AdaptThink, reasoning efficiency, adaptive thinking, RL algorithm, inference cost reduction.",,,
dump-automated-distribution-level-curriculum-learning-for-rl-based-llm-post-training.pdf,dump-automated-distribution-level-curriculum-learning-for-rl-based-llm-post-training.pdf,False,"The paper focuses on synthetic data generation and its theoretical understanding, not on CoT efficiency or redundancy reduction.","Synthetic Data, Generalization, Large Language Models",,,
Scientific Reasoning:  Assessment of Multimodal Generative LLMs,scientific-reasoning-assessment-of-multimodal-generative-llms.pdf,False,The paper focuses on evaluating multimodal LLMs for scientific reasoning and does not specifically address CoT efficiency or redundancy reduction.,"Multimodal LLMs, scientific reasoning, model evaluation.",,,
dancing-with-critiques-enhancing-llm-reasoning-with-stepwise-natural-language-self-critique.pdf,dancing-with-critiques-enhancing-llm-reasoning-with-stepwise-natural-language-self-critique.pdf,False,"The paper focuses on enhancing reasoning capabilities using stepwise natural language self-critique, not on reducing redundancy or improving computational efficiency in CoT.","Reasoning enhancement, self-critique, inference-time scaling.",,,
When Do LLMs Admit Their Mistakes? Understanding the Role of Model Belief in Retraction,when-do-llms-admit-their-mistakes-understanding-the-role-of-model-belief-in-retraction.pdf,False,"The paper focuses on understanding and improving the retraction behavior of large language models, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Retraction, LLMs, Internal Belief, Error Acknowledgment",,,
MM-PRM: Enhancing Multimodal Mathematical Reasoning with Scalable Step-Level Supervision,mm-prm-enhancing-multimodal-mathematical-reasoning-with-scalable-step-level-supervision.pdf,False,"The paper focuses on improving multimodal reasoning through process supervision, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Multimodal Reasoning, Process Supervision, MLLMs, Mathematical Problem-Solving",,,
i-have-covered-all-the-bases-here-interpreting-reasoning-features-in-large-language-models-via-sparse-autoencoders.pdf,i-have-covered-all-the-bases-here-interpreting-reasoning-features-in-large-language-models-via-sparse-autoencoders.pdf,False,"The paper focuses on understanding and enhancing reasoning in LLMs using Sparse Autoencoders, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Sparse Autoencoders, Reasoning Features, Interpretability, LLMs",,,
"How well do LLMs reason over tabular data, really?",thinkbench-dynamic-out-of-distribution-evaluation-for-robust-llm-reasoning.pdf,False,"The paper focuses on evaluating and improving the robustness of LLMs in reasoning over tabular data, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Tabular Reasoning, LLM Robustness, Evaluation Strategies",,,
thought-calibration-efficient-and-confident-test-time-scaling.pdf,thought-calibration-efficient-and-confident-test-time-scaling.pdf,True,"The paper introduces ""Synergy of Thoughts"" (SoT), a method aimed at reducing API costs and improving computational efficiency in reasoning tasks by using hybrid LLMs.","CoT efficiency, redundancy reduction, Synergy of Thoughts, API cost reduction, hybrid LLMs.",,,
HelpSteer3: Human-Annotated Feedback and Edit Data to Empower Inference-Time Scaling in Open-Ended General-Domain Tasks,dedicated-feedback-and-edit-models-empower-inference-time-scaling-for-open-ended-general-domain-tasks.pdf,False,"The paper focuses on inference-time scaling and feedback-based improvement, not specifically on reducing redundancy in CoT reasoning.","Inference-time scaling, feedback models, open-ended tasks.",,,
r1-t1-fully-incentivizing-translation-capability-in-llms-via-reasoning-learning.pdf,r1-t1-fully-incentivizing-translation-capability-in-llms-via-reasoning-learning.pdf,False,"The paper focuses on improving machine translation using reasoning-enhanced models, not specifically on reducing redundancy or improving computational efficiency in CoT reasoning.","Machine Translation, Chain-of-Thought, Reinforcement Learning, Human-aligned CoTs",,,
Supervised Optimism Correction: Be Confident When LLMs Are Sure,supervised-optimism-correction-be-confident-when-llms-are-sure.pdf,False,"The paper focuses on addressing over-optimism in beam search for language models, not on reducing redundancy in chain-of-thought reasoning.","Beam search, Q-value estimation, supervised fine-tuning.",,,
isolating-language-coding-from-problem-solving-benchmarking-llms-with-pseudoeval.pdf,isolating-language-coding-from-problem-solving-benchmarking-llms-with-pseudoeval.pdf,False,"The paper focuses on code generation benchmarks and identifying bottlenecks in LLMs' problem-solving and language-coding capabilities, not on CoT efficiency.","Code Generation, Benchmarks, LLMs, Problem-Solving, Language-Coding",,,
aapo-enhance-the-reasoning-capabilities-of-llms-with-advantage-momentum.pdf,aapo-enhance-the-reasoning-capabilities-of-llms-with-advantage-momentum.pdf,False,"The paper focuses on enhancing reasoning capabilities of LLMs using reinforcement learning, not specifically on reducing redundancy or improving computational efficiency in CoT reasoning.","Reinforcement Learning, Large Language Models, Chain-of-Thought, Mathematical Reasoning",,,
phybench-holistic-evaluation-of-physical-perception-and-reasoning-in-large-language-models.pdf,phybench-holistic-evaluation-of-physical-perception-and-reasoning-in-large-language-models.pdf,False,"The paper focuses on introducing a new benchmark, PHYBench, for evaluating reasoning capabilities in physics, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Benchmarking, Physics, Reasoning Evaluation, Large Language Models",,,
alphamaze-enhancing-large-language-models-spatial-intelligence-via-grpo.pdf,alphamaze-enhancing-large-language-models-spatial-intelligence-via-grpo.pdf,False,"The paper focuses on enhancing visual spatial reasoning in language models, not on improving chain-of-thought efficiency or reducing redundancy.","Visual Reasoning, Maze Navigation, Language Models, Sequential Decision-Making",,,
Point-RFT: Improving Multimodal Reasoning with Visually Grounded Reinforcement Finetuning,point-rft-improving-multimodal-reasoning-with-visually-grounded-reinforcement-finetuning.pdf,False,"The paper focuses on improving multimodal reasoning by integrating visual elements into Chain-of-Thought reasoning, not on reducing redundancy or improving computational efficiency in CoT.","Multimodal Reasoning, Visual Document Understanding, Chain-of-Thought, Reinforcement Learning",,,
Optimizing Language Models for Inference Time Objectives using Reinforcement Learning,optimizing-language-models-for-inference-time-objectives-using-reinforcement-learning.pdf,False,"The paper focuses on optimizing inference time performance during model training, not specifically on reducing redundancy in chain-of-thought reasoning.","Inference Optimization, Model Training, Inference Time Performance.",,,
A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,a-survey-on-inference-engines-for-large-language-models-perspectives-on-optimization-and-efficiency.pdf,False,The paper discusses the computational challenges of deploying LLMs with reasoning-centric methods but does not focus on reducing redundancy in CoT reasoning.,"LLMs, computational efficiency, reasoning-centric methods.",,,
lingoly-too-disentangling-reasoning-from-knowledge-with-templatised-orthographic-obfuscation.pdf,lingoly-too-disentangling-reasoning-from-knowledge-with-templatised-orthographic-obfuscation.pdf,False,"The paper focuses on a reasoning benchmark to evaluate LLMs' reasoning abilities, not on improving computational efficiency or reducing redundancy in CoT reasoning.","Reasoning Benchmark, LLM Evaluation, Linguistic Permutations",,,
self-reflective-uncertainties-do-llms-know-their-internal-answer-distribution.pdf,self-reflective-uncertainties-do-llms-know-their-internal-answer-distribution.pdf,False,"The paper focuses on reducing hallucinations in LLMs by teaching them to recognize and express their knowledge boundaries, not on CoT efficiency.","Hallucination, Knowledge Boundaries, LLMs",,,
towards-reasoning-era-a-survey-of-long-chain-of-thought-for-reasoning-large-language-models.pdf,towards-reasoning-era-a-survey-of-long-chain-of-thought-for-reasoning-large-language-models.pdf,False,"The paper is a survey on recent progress in LLM reasoning, focusing on learning-to-reason techniques and test-time scaling, but it does not specifically address CoT efficiency or redundancy reduction.","LLM reasoning, learning-to-reason, test-time scaling, survey",,,
visionreasoner-unified-visual-perception-and-reasoning-via-reinforcement-learning.pdf,visionreasoner-unified-visual-perception-and-reasoning-via-reinforcement-learning.pdf,False,"The paper focuses on enhancing reasoning capabilities in visual perception tasks using a unified framework, not on reducing redundancy in chain-of-thought reasoning.","Vision-language models, visual perception, unified framework.",,,
self-generated-in-context-examples-improve-llm-agents-for-sequential-decision-making-tasks.pdf,self-generated-in-context-examples-improve-llm-agents-for-sequential-decision-making-tasks.pdf,False,"The paper focuses on enhancing LLM-based agents with memory and critics for decision-making in robotics, not on CoT efficiency.","Robotics, LLM-based agents, memory, decision-making.",,,
evolutionary-prompt-optimization-discovers-emergent-multimodal-reasoning-strategies-in-vision-language-models.pdf,evolutionary-prompt-optimization-discovers-emergent-multimodal-reasoning-strategies-in-vision-language-models.pdf,False,"The paper focuses on optimizing prompts in vision-language models for multimodal reasoning, not specifically on CoT efficiency or redundancy reduction.","Vision-language models, prompt optimization, evolutionary algorithms.",,,
Empowering Smaller Models: Tuning LLaMA and Gemma with Chain-of-Thought for Ukrainian Exam Tasks,empowering-smaller-models-tuning-llama-and-gemma-with-chain-of-thought-for-ukrainian-exam-tasks.pdf,False,"The paper focuses on parameter-efficient fine-tuning for reasoning tasks in underrepresented languages, not specifically on reducing redundancy or improving computational efficiency in CoT reasoning.","Parameter-efficient fine-tuning, reasoning tasks, underrepresented languages.",,,
autonomous-evaluation-of-llms-for-truth-maintenance-and-reasoning-tasks.pdf,autonomous-evaluation-of-llms-for-truth-maintenance-and-reasoning-tasks.pdf,False,"The paper focuses on creating a benchmark for evaluating LLMs in formal tasks, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Benchmarking, Evaluation, Large Language Models, Formal Tasks",,,
adaptive-group-policy-optimization-towards-stable-training-and-token-efficient-reasoning.pdf,adaptive-group-policy-optimization-towards-stable-training-and-token-efficient-reasoning.pdf,True,"The paper discusses Adaptive Group Policy Optimization (AGPO), which improves reasoning efficiency by reducing token usage in reasoning steps.","CoT Efficiency, Redundancy Reduction, AGPO, RL Stability, Token Reduction",,,
beyond-seen-data-improving-kbqa-generalization-through-schema-guided-logical-form-generation.pdf,beyond-seen-data-improving-kbqa-generalization-through-schema-guided-logical-form-generation.pdf,False,"The paper focuses on improving knowledge base question answering by using schema contexts, not on CoT efficiency.","Knowledge Base Question Answering, Schema Contexts, Generalizability.",,,
learning-from-committee-reasoning-distillation-from-a-mixture-of-teachers-with-peer-review.pdf,learning-from-committee-reasoning-distillation-from-a-mixture-of-teachers-with-peer-review.pdf,False,"The paper focuses on knowledge distillation and improving student network performance, not on CoT efficiency.","Knowledge Distillation, Multi-Teacher Learning, Student Networks",,,
reasoning-models-can-be-effective-without-thinking.pdf,reasoning-models-can-be-effective-without-thinking.pdf,True,The paper explores bypassing the lengthy chain-of-thought process to improve computational efficiency in reasoning tasks.,"CoT efficiency, redundancy reduction, NoThinking, parallel scaling.",,,
bridging-supervised-learning-and-reinforcement-learning-in-math-reasoning.pdf,bridging-supervised-learning-and-reinforcement-learning-in-math-reasoning.pdf,False,"The paper focuses on improving LLMs' math reasoning through a supervised learning approach called Negative-aware Fine-Tuning, not on CoT efficiency.","Reinforcement Learning, Supervised Learning, Negative-aware Fine-Tuning, Math Reasoning.",,,
think-smarter-not-harder-adaptive-reasoning-with-inference-aware-optimization.pdf,think-smarter-not-harder-adaptive-reasoning-with-inference-aware-optimization.pdf,False,"The paper focuses on a constrained reinforcement learning framework for controlling response group distributions, not specifically on CoT efficiency or redundancy reduction.","Constrained RL, Response Distribution, Optimization",,,
Safety Reasoning with Guidelines,leveraging-reasoning-with-guidelines-to-elicit-and-utilize-knowledge-for-enhancing-safety-alignment.pdf,False,"The paper focuses on improving the safety and generalization of LLMs against OOD attacks, not on CoT efficiency or redundancy reduction.","Safety, LLMs, Out-of-Distribution, Refusal Training, Generalization",,,
Zooming from Context to Cue: Hierarchical Preference Optimization for Multi-Image MLLMs,zooming-from-context-to-cue-hierarchical-preference-optimization-for-multi-image-mllms.pdf,False,"The paper focuses on improving multi-image understanding in multi-modal large language models, not on chain-of-thought reasoning efficiency.","Multi-modal, Large Language Models, Image Understanding, Cross-modal Misalignment",,,
beyond-accuracy-the-role-of-calibration-in-self-improving-large-language-models.pdf,beyond-accuracy-the-role-of-calibration-in-self-improving-large-language-models.pdf,False,"The paper focuses on self-improvement and confidence calibration in LLMs, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Self-improvement, confidence calibration, LLM biases.",,,
disentangling-exploration-of-large-language-models-by-optimal-exploitation.pdf,disentangling-exploration-of-large-language-models-by-optimal-exploitation.pdf,False,"The paper focuses on exploration in large language models, not on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Exploration, Large Language Models, Decision Making, State-Space Exploration.",,,
mm-agent-llm-as-agents-for-real-world-mathematical-modeling-problem.pdf,mm-agent-llm-as-agents-for-real-world-mathematical-modeling-problem.pdf,False,"The paper focuses on simulating financial markets using agent-based modeling, not on improving chain-of-thought reasoning efficiency.","Agent-Based Modeling, Financial Markets, Reinforcement Learning.",,,
retool-reinforcement-learning-for-strategic-tool-use-in-llms.pdf,retool-reinforcement-learning-for-strategic-tool-use-in-llms.pdf,False,"The paper focuses on enhancing reasoning models with tool-integrated learning for structured problem-solving, not specifically on reducing redundancy or improving computational efficiency in chain-of-thought reasoning.","Tool Integration, Reinforcement Learning, Structured Problem-Solving, Mathematical Reasoning",,,
OThink-R1: Intrinsic Fast/Slow Thinking Mode Switching for Over-Reasoning Mitigation,thinkless-a-training-free-inference-efficient-method-for-reducing-reasoning-redundancy.pdf,True,"The paper focuses on reducing redundancy in chain-of-thought reasoning by introducing OThink-R1, which prunes unnecessary reasoning steps to improve computational efficiency.","CoT efficiency, redundancy reduction, OThink-R1, reasoning models.",,,
SATBench: Benchmarking LLMs' Logical Reasoning via Automated Puzzle Generation from SAT Formulas,satbench-benchmarking-llms-logical-reasoning-via-automated-puzzle-generation-from-sat-formulas.pdf,False,"The paper focuses on evaluating logical reasoning capabilities of LLMs using SATBench, not on improving CoT efficiency or reducing redundancy.","Logical reasoning, SAT problems, benchmarks, LLM evaluation.",,,
efficient-single-pass-training-for-multi-turn-reasoning.pdf,efficient-single-pass-training-for-multi-turn-reasoning.pdf,True,The paper focuses on improving the efficiency of Chain-of-Thought reasoning by exploring methods to reduce redundancy and computational overhead.,"Efficient Reasoning, Chain-of-Thought, Redundancy Reduction, Computational Efficiency, Survey",,,
"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",pea-enhancing-llm-performance-on-computational-reasoning-tasks.pdf,False,"The paper focuses on optimizing LLMs for software engineering tasks, not on CoT efficiency.","Software Engineering, LLMs, Code Generation, Fine-tuning",,,
scaling-inference-efficient-language-models.pdf,scaling-inference-efficient-language-models.pdf,False,"The paper focuses on developing a French language model and its performance, not on CoT efficiency or redundancy reduction.","French language model, zero-shot learning, multilingual NLP, language model safety.",,,
zipr1-reinforcing-token-sparsity-in-mllms.pdf,zipr1-reinforcing-token-sparsity-in-mllms.pdf,True,The paper focuses on improving computational efficiency by reducing token redundancy in multimodal large language models through a method called ZipR1.,"Sparse attention, token reduction, computational efficiency, ZipR1, MLLMs.",,,
hybrid-latent-reasoning-via-reinforcement-learning.pdf,hybrid-latent-reasoning-via-reinforcement-learning.pdf,True,"The paper discusses hybrid reasoning policy optimization (HRPO), which aims to improve reasoning efficiency in large language models by integrating latent reasoning with reinforcement learning, reducing reliance on traditional chain-of-thought methods.","latent reasoning, hybrid reasoning, reinforcement learning, computational efficiency, chain-of-thought reduction",,,
cer-confidence-enhanced-reasoning-in-llms.pdf,cer-confidence-enhanced-reasoning-in-llms.pdf,False,"The paper focuses on enhancing the accuracy of LLM responses through an uncertainty-aware framework, not on reducing redundancy or improving computational efficiency in CoT reasoning.","Uncertainty-aware framework, LLM accuracy, confidence aggregation.",,,
