title,category
ThinkLess: A Training-Free Inference-Efficient Method for Reducing Reasoning Redundancy,chain_of_thought_reduction
PixelThink: Towards Efficient Chain-of-Pixel Reasoning,chain_of_thought_reduction
Thinking Short and Right Over Thinking Long: Serving LLM Reasoning Efficiently and Accurately,chain_of_thought_reduction
Efficient Long CoT Reasoning in Small Language Models,chain_of_thought_reduction
TrimR: Verifier-based Training-Free Thinking Compression for Efficient Test-Time Scaling,chain_of_thought_reduction
ConciseRL: Conciseness-Guided Reinforcement Learning for Efficient Reasoning Models,chain_of_thought_reduction
The Overthinker's DIET: Cutting Token Calories with DIfficulty-AwarE Training,chain_of_thought_reduction
"Think Silently, Think Fast: Dynamic Latent Compression of LLM Reasoning Chains",chain_of_thought_reduction
SelfBudgeter: Adaptive Token Allocation for Efficient LLM Reasoning,chain_of_thought_reduction
First Finish Search: Efficient Test-Time Scaling in Large Language Models,chain_of_thought_reduction
Learn to Reason Efficiently with Adaptive Length-based Reward Shaping,chain_of_thought_reduction
Prolonged Reasoning Is Not All You Need: Certainty-Based Adaptive Routing for Efficient LLM/MLLM Reasoning,chain_of_thought_reduction
Let LLMs Break Free from Overthinking via Self-Braking Tuning,chain_of_thought_reduction
LIFEBench: Evaluating Length Instruction Following in Large Language Models,chain_of_thought_reduction
"Concise Reasoning, Big Gains: Pruning Long Reasoning Trace with Difficulty-Aware Prompting",chain_of_thought_reduction
Reasoning Path Compression: Compressing Generation Trajectories for Efficient LLM Reasoning,chain_of_thought_reduction
HAPO: Training Language Models to Reason Concisely via History-Aware Policy Optimization,chain_of_thought_reduction
Thinkless: LLM Learns When to Think,chain_of_thought_reduction
VeriFastScore: Speeding up long-form factuality evaluation,chain_of_thought_reduction
Don't Overthink it. Preferring Shorter Thinking Chains for Improved LLM Reasoning,chain_of_thought_reduction
Efficient Large Language Model Inference with Neural Block Linearization,chain_of_thought_reduction
"A Token is Worth over 1,000 Tokens: Efficient Knowledge Distillation through Low-Rank Clone",chain_of_thought_reduction
The Energy Cost of Reasoning: Analyzing Energy Usage in LLMs with Test-time Compute,chain_of_thought_reduction
FlashThink: An Early Exit Method For Efficient Reasoning,chain_of_thought_reduction
DASH: Input-Aware Dynamic Layer Skipping for Efficient LLM Inference with Markov Decision Policies,chain_of_thought_reduction
Efficient Pretraining Length Scaling,chain_of_thought_reduction
"Think Deep, Think Fast: Investigating Efficiency of Verifier-free Inference-time-scaling Methods",chain_of_thought_reduction
Dynamic Early Exit in Reasoning Models,chain_of_thought_reduction
ShorterBetter: Guiding Reasoning Models to Find Optimal Inference Length for Efficient Reasoning,chain_of_thought_reduction
ThinkPrune: Pruning Long Chain-of-Thought of LLMs via Reinforcement Learning,chain_of_thought_reduction
"70% Size, 100% Accuracy: Lossless LLM Compression for Efficient GPU Inference via Dynamic-Length Float",chain_of_thought_reduction
Do We Truly Need So Many Samples? Multi-LLM Repeated Sampling Efficiently Scales Test-Time Compute,chain_of_thought_reduction
ZipR1: Reinforcing Token Sparsity in MLLMs,chain_of_thought_reduction
An Empirical Study of LLM Reasoning Ability Under Strict Output Length Constraint,chain_of_thought_reduction
Token-Efficient Prompt Injection Attack: Provoking Cessation in LLM Reasoning via Adaptive Token Compression,chain_of_thought_reduction
Concise Reasoning via Reinforcement Learning,chain_of_thought_reduction
The Curse of CoT: On the Limitations of Chain-of-Thought in In-Context Learning,chain_of_thought_reduction
xLSTM 7B: A Recurrent LLM for Fast and Efficient Inference,chain_of_thought_reduction
PENCIL: Long Thoughts with Short Memory,chain_of_thought_reduction
Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,chain_of_thought_reduction
Deconstructing Long Chain-of-Thought: A Structured Reasoning Optimization Framework for Long CoT Distillation,chain_of_thought_reduction
DNR Bench: Benchmarking Over-Reasoning in Reasoning LLMs,chain_of_thought_reduction
L1: Controlling How Long A Reasoning Model Thinks With Reinforcement Learning,chain_of_thought_reduction
Collaborative Speculative Inference for Efficient LLM Inference Serving,chain_of_thought_reduction
Unlocking Efficient Long-to-Short LLM Reasoning with Model Merging,chain_of_thought_reduction
Speculative MoE: Communication Efficient Parallel MoE Inference with Speculative Token and Expert Pre-scheduling,chain_of_thought_reduction
LServe: Efficient Long-sequence LLM Serving with Unified Sparse Attention,chain_of_thought_reduction
Learning to Stop Overthinking at Test Time,chain_of_thought_reduction
ChunkKV: Semantic-Preserving KV Cache Compression for Efficient Long-Context LLM Inference,chain_of_thought_reduction
LIMO: Less is More for Reasoning,chain_of_thought_reduction
EfficientLLM: Scalable Pruning-Aware Pretraining for Architecture-Agnostic Edge Language Models,chain_of_thought_reduction
CodeI/O: Condensing Reasoning Patterns via Code Input-Output Prediction,chain_of_thought_reduction
TokenSkip: Controllable Chain-of-Thought Compression in LLMs,chain_of_thought_reduction
LIMR: Less is More for RL Scaling,chain_of_thought_reduction
LightThinker: Thinking Step-by-Step Compression,chain_of_thought_reduction
From Hours to Minutes: Lossless Acceleration of Ultra Long Sequence Generation up to 100K Tokens,chain_of_thought_reduction
Chain of Draft: Thinking Faster by Writing Less,chain_of_thought_reduction
When More is Less: Understanding Chain-of-Thought Length in LLMs,chain_of_thought_reduction
CoT-Valve: Length-Compressible Chain-of-Thought Tuning,chain_of_thought_reduction
Scaling Inference-Efficient Language Models,chain_of_thought_reduction
Token-Budget-Aware LLM Reasoning,chain_of_thought_reduction
Do NOT Think That Much for 2+3=? On the Overthinking of o1-Like LLMs,chain_of_thought_reduction
SelectLLM: Query-Aware Efficient Selection Algorithm for Large Language Models,chain_of_thought_reduction
Plato: Plan to Efficiently Decode for Large Language Model Inference,chain_of_thought_reduction
Bring Reason to Vision: Understanding Perception and Reasoning through Model Merging,reasoning_improvement
Building a Human-Verified Clinical Reasoning Dataset via a Human LLM Hybrid Pipeline for Trustworthy Medical AI,reasoning_improvement
Rethinking Prompt Optimizers: From Prompt Merits to Optimization,reasoning_improvement
RM-R1: Reward Modeling as Reasoning,reasoning_improvement
BARREL: Boundary-Aware Reasoning for Factual and Reliable LRMs,reasoning_improvement
"DeepEyes: Incentivizing ""Thinking with Images"" via Reinforcement Learning",reasoning_improvement
FlowKV: Enhancing Multi-Turn Conversational Coherence in LLMs via Isolated Key-Value Cache Management,reasoning_improvement
R-Bench: Graduate-level Multi-disciplinary Benchmarks for LLM & MLLM Complex Reasoning Evaluation,reasoning_improvement
T2I-R1: Reinforcing Image Generation with Collaborative Semantic-level and Token-level CoT,reasoning_improvement
Thoughts without Thinking: Reconsidering the Explanatory Value of Chain-of-Thought Reasoning in LLMs through Agentic Pipelines,reasoning_improvement
MentalMAC: Enhancing Large Language Models for Detecting Mental Manipulation via Multi-Task Anti-Curriculum Distillation,reasoning_improvement
When Less Language is More: Language-Reasoning Disentanglement Makes LLMs Better Multilingual Reasoners,reasoning_improvement
Mining Hidden Thoughts from Texts: Evaluating Continual Pretraining with Synthetic Data for LLM Reasoning,reasoning_improvement
Not All Thoughts are Generated Equal: Efficient LLM Reasoning via Multi-Turn Reinforcement Learning,reasoning_improvement
Class Distillation with Mahalanobis Contrast: An Efficient Training Paradigm for Pragmatic Language Understanding Tasks,reasoning_improvement
CoT-Vid: Dynamic Chain-of-Thought Routing with Self Verification for Training-Free Video Reasoning,reasoning_improvement
OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,reasoning_improvement
VeriReason: Reinforcement Learning with Testbench Feedback for Reasoning-Enhanced Verilog Generation,reasoning_improvement
Solver-Informed RL: Grounding Large Language Models for Authentic Optimization Modeling,reasoning_improvement
Evaluating the Logical Reasoning Abilities of Large Reasoning Models,reasoning_improvement
SAS-Bench: A Fine-Grained Benchmark for Evaluating Short Answer Scoring with Large Language Models,reasoning_improvement
Connecting the Dots: A Chain-of-Collaboration Prompting Framework for LLM Agents,reasoning_improvement
GuardReasoner-VL: Safeguarding VLMs via Reinforced Reasoning,reasoning_improvement
Natural Language Planning via Coding and Inference Scaling,reasoning_improvement
Incentivizing Dual Process Thinking for Efficient Large Language Model Reasoning,reasoning_improvement
Distilling the Implicit Multi-Branch Structure in LLMs' Reasoning via Reinforcement Learning,reasoning_improvement
SynLogic: Synthesizing Verifiable Reasoning Data at Scale for Learning Logical Reasoning and Beyond,reasoning_improvement
Effective and Transparent RAG: Adaptive-Reward Reinforcement Learning for Decision Traceability,reasoning_improvement
Memorization or Reasoning? Exploring the Idiom Understanding of LLMs,reasoning_improvement
Pixel Reasoner: Incentivizing Pixel-Space Reasoning with Curiosity-Driven Reinforcement Learning,reasoning_improvement
Crosslingual Reasoning through Test-Time Scaling,reasoning_improvement
CaseEdit: Enhancing Localized Commonsense Reasoning via Null-Space Constrained Knowledge Editing in Small Parameter Language Models,reasoning_improvement
Automated Text-to-Table for Reasoning-Intensive Table QA: Pipeline Design and Benchmarking Insights,reasoning_improvement
SituatedThinker: Grounding LLM Reasoning with Real-World through Situated Thinking,reasoning_improvement
DeepTheorem: Advancing LLM Reasoning for Theorem Proving Through Natural Language and Reinforcement Learning,reasoning_improvement
Beyond 'Aha!': Toward Systematic Meta-Abilities Alignment in Large Reasoning Models,reasoning_improvement
Can Large Reasoning Models Self-Train?,reasoning_improvement
Beyond Chemical QA: Evaluating LLM's Chemical Reasoning with Modular Chemical Operations,reasoning_improvement
MathCoder-VL: Bridging Vision and Code for Enhanced Multimodal Mathematical Reasoning,reasoning_improvement
"IQBench: How ""Smart'' Are Vision-Language Models? A Study with Human IQ Tests",reasoning_improvement
VisionReasoner: Unified Visual Perception and Reasoning via Reinforcement Learning,reasoning_improvement
Let's Verify Math Questions Step by Step,reasoning_improvement
Feature Extraction and Steering for Enhanced Chain-of-Thought Reasoning in Language Models,reasoning_improvement
Discovering Pathology Rationale and Token Allocation for Efficient Multimodal Pathology Reasoning,reasoning_improvement
NeSyGeo: A Neuro-Symbolic Framework for Multimodal Geometric Reasoning Data Generation,reasoning_improvement
MTR-Bench: A Comprehensive Benchmark for Multi-Turn Reasoning Evaluation,reasoning_improvement
Knowledge Augmented Complex Problem Solving with Large Language Models: A Survey,reasoning_improvement
Memorization-Compression Cycles Improve Generalization,reasoning_improvement
Self-GIVE: Associative Thinking from Limited Structured Knowledge for Enhanced Large Language Model Reasoning,reasoning_improvement
Accelerating RL for LLM Reasoning with Optimal Advantage Regression,reasoning_improvement
rStar-Coder: Scaling Competitive Code Reasoning with a Large-Scale Verified Dataset,reasoning_improvement
Learning from Algorithm Feedback: One-Shot SAT Solver Guidance with GNNs,reasoning_improvement
$\text{R}^2\text{ec}$: Towards Large Recommender Models with Reasoning,reasoning_improvement
Latent Principle Discovery for Language Model Self-Improvement,reasoning_improvement
LARES: Latent Reasoning for Sequential Recommendation,reasoning_improvement
A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,reasoning_improvement
DeepMath-Creative: A Benchmark for Evaluating Mathematical Creativity of Large Language Models,reasoning_improvement
Do Large Language Models Excel in Complex Logical Reasoning with Formal Language?,reasoning_improvement
Error Typing for Smarter Rewards: Improving Process Reward Models with Error-Aware Hierarchical Supervision,reasoning_improvement
Think-J: Learning to Think for Generative LLM-as-a-Judge,reasoning_improvement
Scent of Knowledge: Optimizing Search-Enhanced Reasoning with Information Foraging,reasoning_improvement
Fractured Chain-of-Thought Reasoning,reasoning_improvement
ExTrans: Multilingual Deep Reasoning Translation via Exemplar-Enhanced Reinforcement Learning,reasoning_improvement
Code2Logic: Game-Code-Driven Data Synthesis for Enhancing VLMs General Reasoning,reasoning_improvement
Towards eliciting latent knowledge from LLMs with mechanistic interpretability,reasoning_improvement
Mapping the Minds of LLMs: A Graph-Based Analysis of Reasoning LLM,reasoning_improvement
GRE Suite: Geo-localization Inference via Fine-Tuned Vision-Language Models and Enhanced Reasoning Chains,reasoning_improvement
The Coverage Principle: A Framework for Understanding Compositional Generalization,reasoning_improvement
System-1.5 Reasoning: Traversal in Language and Latent Spaces with Dynamic Shortcuts,reasoning_improvement
Reasoning Beyond Language: A Comprehensive Survey on Latent Chain-of-Thought Reasoning,reasoning_improvement
Can reasoning models comprehend mathematical problems in Chinese ancient texts? An empirical study based on data from Suanjing Shishu,reasoning_improvement
R1-ShareVL: Incentivizing Reasoning Capability of Multimodal Large Language Models via Share-GRPO,reasoning_improvement
Learning to Route Queries Across Knowledge Bases for Step-wise Retrieval-Augmented Reasoning,reasoning_improvement
Temporal Sampling for Forgotten Reasoning in LLMs,reasoning_improvement
SPA-RL: Reinforcing LLM Agents via Stepwise Progress Attribution,reasoning_improvement
Reasoning Is Not All You Need: Examining LLMs for Multi-Turn Mental Health Conversations,reasoning_improvement
Can Past Experience Accelerate LLM Reasoning?,reasoning_improvement
MCP Safety Training: Learning to Refuse Falsely Benign MCP Exploits using Improved Preference Alignment,reasoning_improvement
Attributing Response to Context: A Jensen-Shannon Divergence Driven Mechanistic Study of Context Attribution in Retrieval-Augmented Generation,reasoning_improvement
T2I-Eval-R1: Reinforcement Learning-Driven Reasoning for Interpretable Text-to-Image Evaluation,reasoning_improvement
Pretraining Language Models to Ponder in Continuous Space,reasoning_improvement
Pitfalls of Rule- and Model-based Verifiers -- A Case Study on Mathematical Reasoning,reasoning_improvement
Let's Reason Formally: Natural-Formal Hybrid Reasoning Enhances LLM's Math Capability,reasoning_improvement
SocialMaze: A Benchmark for Evaluating Social Reasoning in Large Language Models,reasoning_improvement
Sherlock: Self-Correcting Reasoning in Vision-Language Models,reasoning_improvement
Self-Reflective Reinforcement Learning for Diffusion-based Image Reasoning Generation,reasoning_improvement
Table-R1: Inference-Time Scaling for Table Reasoning,reasoning_improvement
Don't Take the Premise for Granted: Evaluating the Premise Critique Ability of Large Language Models,reasoning_improvement
Spatial-MLLM: Boosting MLLM Capabilities in Visual-based Spatial Intelligence,reasoning_improvement
Unified Multimodal Chain-of-Thought Reward Model through Reinforcement Fine-Tuning,reasoning_improvement
A Multi-Dimensional Constraint Framework for Evaluating and Improving Instruction Following in Large Language Models,reasoning_improvement
Scaling Reasoning can Improve Factuality in Large Language Models,reasoning_improvement
MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,reasoning_improvement
Human-Aligned Bench: Fine-Grained Assessment of Reasoning Ability in MLLMs vs. Humans,reasoning_improvement
Daily-Omni: Towards Audio-Visual Reasoning with Temporal Alignment across Modalities,reasoning_improvement
"Language models can learn implicit multi-hop reasoning, but only if they have lots of training data",reasoning_improvement
Collision- and Reachability-Aware Multi-Robot Control with Grounded LLM Planners,reasoning_improvement
Can Large Language Models Correctly Interpret Equations with Errors?,reasoning_improvement
Optimizing Anytime Reasoning via Budget Relative Policy Optimization,reasoning_improvement
Seek in the Dark: Reasoning via Test-Time Instance-Level Policy Gradient in Latent Space,reasoning_improvement
"Trust, But Verify: A Self-Verification Approach to Reinforcement Learning with Verifiable Rewards",reasoning_improvement
Self-Route: Automatic Mode Switching via Capability Estimation for Efficient Reasoning,reasoning_improvement
DriveRX: A Vision-Language Reasoning Model for Cross-Task Autonomous Driving,reasoning_improvement
Beyond path selection: Better LLMs for Scientific Information Extraction with MimicSFT and Relevance and Rule-induced(R$^2$)GRPO,reasoning_improvement
Reinforcement Learning for Out-of-Distribution Reasoning in LLMs: An Empirical Study on Diagnosis-Related Group Coding,reasoning_improvement
Zooming from Context to Cue: Hierarchical Preference Optimization for Multi-Image MLLMs,reasoning_improvement
Segment Policy Optimization: Effective Segment-Level Credit Assignment in RL for Large Language Models,reasoning_improvement
Neither Stochastic Parroting nor AGI: LLMs Solve Tasks through Context-Directed Extrapolation from Training Data Priors,reasoning_improvement
CoT Red-Handed: Stress Testing Chain-of-Thought Monitoring,reasoning_improvement
BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,reasoning_improvement
Learning Like Humans: Advancing LLM Reasoning Capabilities via Adaptive Difficulty Curriculum Learning and Expert-Guided Self-Reformulation,reasoning_improvement
R2MED: A Benchmark for Reasoning-Driven Medical Retrieval,reasoning_improvement
DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery,reasoning_improvement
Diversity-Aware Policy Optimization for Large Language Model Reasoning,reasoning_improvement
Fusing Bidirectional Chains of Thought and Reward Mechanisms A Method for Enhancing Question-Answering Capabilities of Large Language Models for Chinese Intangible Cultural Heritage,reasoning_improvement
Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making,reasoning_improvement
TEMPURA: Temporal Event Masked Prediction and Understanding for Reasoning in Action,reasoning_improvement
Unearthing Gems from Stones: Policy Optimization with Negative Sample Augmentation for LLM Reasoning,reasoning_improvement
Trajectory Bellman Residual Minimization: A Simple Value-Based Method for LLM Reasoning,reasoning_improvement
STAR-R1: Spatial TrAnsformation Reasoning by Reinforcing Multimodal LLMs,reasoning_improvement
On the Design of KL-Regularized Policy Gradient Algorithms for LLM Reasoning,reasoning_improvement
Decoupled Visual Interpretation and Linguistic Reasoning for Math Problem Solving,reasoning_improvement
From Reasoning to Generalization: Knowledge-Augmented LLMs for ARC Benchmark,reasoning_improvement
Always Tell Me The Odds: Fine-grained Conditional Probability Estimation,reasoning_improvement
Putting the Value Back in RL: Better Test-Time Scaling by Unifying LLM Reasoners With Verifiers,reasoning_improvement
Learning to Think: Information-Theoretic Reinforcement Fine-Tuning for LLMs,reasoning_improvement
UNJOIN: Enhancing Multi-Table Text-to-SQL Generation via Schema Simplification,reasoning_improvement
VTool-R1: VLMs Learn to Think with Images via Reinforcement Learning on Multimodal Tool Use,reasoning_improvement
Towards Large Reasoning Models for Agriculture,reasoning_improvement
LIMOPro: Reasoning Refinement for Efficient and Effective Test-time Scaling,reasoning_improvement
Disentangling Reasoning and Knowledge in Medical Large Language Models,reasoning_improvement
MedGUIDE: Benchmarking Clinical Decision-Making in Large Language Models,reasoning_improvement
SLOT: Sample-specific Language Model Optimization at Test-time,reasoning_improvement
LLM-CoT Enhanced Graph Neural Recommendation with Harmonized Group Policy Optimization,reasoning_improvement
MMATH: A Multilingual Benchmark for Mathematical Reasoning,reasoning_improvement
ManipLVM-R1: Reinforcement Learning for Reasoning in Embodied Manipulation with Large Vision-Language Models,reasoning_improvement
MMMR: Benchmarking Massive Multi-Modal Reasoning Tasks,reasoning_improvement
Advancing Multimodal Reasoning via Reinforcement Learning with Cold Start,reasoning_improvement
AdaCtrl: Towards Adaptive and Controllable Reasoning via Difficulty-Aware Budgeting,reasoning_improvement
GreekBarBench: A Challenging Benchmark for Free-Text Legal Reasoning and Citations,reasoning_improvement
Enhancing Efficiency and Exploration in Reinforcement Learning for LLMs,reasoning_improvement
Reasoning LLMs are Wandering Solution Explorers,reasoning_improvement
Beyond Markovian: Reflective Exploration via Bayes-Adaptive RL for LLM Reasoning,reasoning_improvement
Maximizing Confidence Alone Improves Reasoning,reasoning_improvement
GuessArena: Guess Who I Am? A Self-Adaptive Framework for Evaluating LLMs in Domain-Specific Knowledge and Reasoning,reasoning_improvement
Exploring the Potential of Offline RL for Reasoning in LLMs: A Preliminary Study,reasoning_improvement
Benchmarking Spatiotemporal Reasoning in LLMs and Reasoning Models: Capabilities and Challenges,reasoning_improvement
Why Not Act on What You Know? Unleashing Safety Potential of LLMs via Self-Aware Guard Enhancement,reasoning_improvement
Co-PatcheR: Collaborative Software Patching with Component(s)-specific Small Reasoning Models,reasoning_improvement
Self-reflective Uncertainties: Do LLMs Know Their Internal Answer Distribution?,reasoning_improvement
Reinforcement Fine-Tuning Powers Reasoning Capability of Multimodal Large Language Models,reasoning_improvement
Adaptive Deep Reasoning: Triggering Deep Thinking When Needed,reasoning_improvement
Delving into RL for Image Generation with CoT: A Study on DPO vs. GRPO,reasoning_improvement
SophiaVL-R1: Reinforcing MLLMs Reasoning with Thinking Reward,reasoning_improvement
Let Androids Dream of Electric Sheep: A Human-like Image Implication Understanding and Reasoning Framework,reasoning_improvement
Steering LLM Reasoning Through Bias-Only Adaptation,reasoning_improvement
Generative RLHF-V: Learning Principles from Multi-modal Human Preference,reasoning_improvement
Ground-R1: Incentivizing Grounded Visual Reasoning via Reinforcement Learning,reasoning_improvement
FunReason: Enhancing Large Language Models' Function Calling via Self-Refinement Multiscale Loss and Automated Data Refinement,reasoning_improvement
LLMs Get Lost In Multi-Turn Conversation,reasoning_improvement
Soft Thinking: Unlocking the Reasoning Potential of LLMs in Continuous Concept Space,reasoning_improvement
Large Language Models as Computable Approximations to Solomonoff Induction,reasoning_improvement
Doc-CoB: Enhancing Multi-Modal Document Understanding with Visual Chain-of-Boxes Reasoning,reasoning_improvement
AdaReasoner: Adaptive Reasoning Enables More Flexible Thinking,reasoning_improvement
OCR-Reasoning Benchmark: Unveiling the True Capabilities of MLLMs in Complex Text-Rich Image Reasoning,reasoning_improvement
PRL: Prompts from Reinforcement Learning,reasoning_improvement
"Longer Context, Deeper Thinking: Uncovering the Role of Long-Context Ability in Reasoning",reasoning_improvement
Curriculum Guided Reinforcement Learning for Efficient Multi Hop Retrieval Augmented Generation,reasoning_improvement
Can MLLMs Guide Me Home? A Benchmark Study on Fine-Grained Visual Reasoning from Transit Maps,reasoning_improvement
Socratic-PRMBench: Benchmarking Process Reward Models with Systematic Reasoning Patterns,reasoning_improvement
VideoPath-LLaVA: Pathology Diagnostic Reasoning Through Video Instruction Tuning,reasoning_improvement
RAIDEN-R1: Improving Role-awareness of LLMs via GRPO with Verifiable Reward,reasoning_improvement
Pre-Act: Multi-Step Planning and Reasoning Improves Acting in LLM Agents,reasoning_improvement
Enhance Mobile Agents Thinking Process Via Iterative Preference Learning,reasoning_improvement
Graph-Reward-SQL: Execution-Free Reinforcement Learning for Text-to-SQL via Graph Matching and Stepwise Reward,reasoning_improvement
Debating for Better Reasoning: An Unsupervised Multimodal Approach,reasoning_improvement
Two Experts Are All You Need for Steering Thinking: Reinforcing Cognitive Effort in MoE Reasoning Models Without Additional Training,reasoning_improvement
Revisiting Overthinking in Long Chain-of-Thought from the Perspective of Self-Doubt,reasoning_improvement
GAM-Agent: Game-Theoretic and Uncertainty-Aware Collaboration for Complex Visual Reasoning,reasoning_improvement
Qwen Look Again: Guiding Vision-Language Reasoning Models to Re-attention Visual Information,reasoning_improvement
Data Whisperer: Efficient Data Selection for Task-Specific LLM Fine-Tuning via Few-Shot In-Context Learning,reasoning_improvement
LogicOCR: Do Your Large Multimodal Models Excel at Logical Reasoning on Text-Rich Images?,reasoning_improvement
