title,summary
cot2align-cross-chain-of-thought-distillation-via-optimal-transport-alignment-for-language-models-with-different-tokeniz,"method: COT 2ALIGN reduces redundancy in token usage by moving beyond token-wise alignment and introducing a sequence-level and layer-wise alignment strategy using Optimal Transport (OT). This approach allows the student model to align with the teacher model's output distributions at the sequence level, regardless of differences in vocabulary and sequence length, thus avoiding the inefficiencies and semantic distortions caused by forced token-level matching. Additionally, by integrating Chain-of-Thought (CoT) augmentation and Cross-CoT Alignment, the method ensures that the student model captures the teacher's multi-step reasoning process, further reducing redundant or misaligned token usage by focusing on the transfer of meaningful reasoning patterns rather than superficial token correspondence.

algorithm-pseudocode:
```
Input: Teacher model T, Student model S, Dataset D, α (loss balance parameter)
1. For each input sample x in D:
    a. Generate standard and CoT-augmented inputs: x, x_CoT
    b. Obtain teacher outputs: Y = T(x), Y_CoT = T(x_CoT)
    c. Obtain student outputs: y = S(x), y_CoT = S(x_CoT)
2. For each output pair, compute alignment losses:
    a. Cross Student-Teacher Output Alignment Loss:
        LCST = Lalign(y_CoT, Y_CoT) + Lalign(y, Y)
    b. Cross Standard-CoT Output Alignment Loss:
        LCRC = Lalign(y, Y_CoT) + Lalign(y_CoT, Y)
    where Lalign is defined as:
        i. Compute token embeddings for both outputs
        ii. Compute similarity matrix S = X P(Y)^T / sqrt(d)
        iii. Normalize S row-wise: S_norm = softmax(S)
        iv. Compute cost matrix C = 1 - S_norm
        v. Compute optimal transport plan T* by solving:
            T* = argmin_{T in U(α, β)} <T, C> - (1/λ) H(T)
        vi. Compute OT loss: LOT = <T*, C>
        vii. Apply LOT to both embedding and last hidden layers
3. Compute total Cross-CoT Alignment loss:
    LCCoT = LCRC + LCST
4. Compute final loss:
    L = (1 - α) * L_CE + α * (LCCoT + L_KD)
    where L_CE is cross-entropy loss, L_KD is the original KD loss (e.g., DSKD)
5. Update student model S to minimize L
```

datasets:

    Dolly: accuracy: Not reported, tokenefficiency: Not reported

    Alpaca: accuracy: Not reported, tokenefficiency: Not reported

    S-NI: accuracy: Not reported, tokenefficiency: Not reported

    DialogSum: accuracy: Not reported, tokenefficiency: Not reported

Notes:
- The paper reports ROUGE-L scores as the main metric, but does not explicitly report accuracy or token efficiency (percentage of tokens saved or reduced).
- No explicit quantitative measure of token efficiency is provided in the paper."
chain-of-grounded-objectives-bridging-process-and-goal-oriented-prompting-for-code-generation,"method: Chain of Grounded Objectives (CGO) reduces redundancy in token usage by prompting the LLM to generate a concise set of functional objectives, expressed in comment-style natural language, that succinctly capture the requirements of the coding problem. These objectives are then used as supplemental context for code generation, replacing verbose, step-by-step procedural reasoning with a compact, goal-oriented representation. This approach minimizes the number of intermediate tokens generated, as it focuses only on essential functional requirements, thereby reducing computational overhead while maintaining or improving code generation accuracy.

algorithm-pseudocode:
1. Input: Problem description P
2. Objective Generation Stage:
    O = GenObj(P)
    // GenObj prompts the LLM: ""Write objectives for the problem.""
    // O = {o1, o2, ..., on} is a set of concise, functional objectives.
3. Code Generation Stage:
    C = GenCode(O | P)
    // GenCode prompts the LLM with both the original problem description P and the generated objectives O.
4. Output: Generated code C

datasets:

    HumanEval (LLaMA3-8B-Instruct): accuracy: 62.4%, tokenefficiency: 114.69 tokens (average intermediate tokens, LLaMA3-70B-Instruct); 190.34 tokens (LLaMA3-8B-Instruct)
    MBPP-sanitized (LLaMA3-8B-Instruct): accuracy: 68.1%, tokenefficiency: Not reported
    HumanEval+ (LLaMA3-8B-Instruct): accuracy: 56.2%, tokenefficiency: Not reported
    MBPP+ (LLaMA3-8B-Instruct): accuracy: 57.9%, tokenefficiency: Not reported

    HumanEval (LLaMA3-70B-Instruct): accuracy: 80.3%, tokenefficiency: 114.69 tokens (average intermediate tokens)
    MBPP-sanitized (LLaMA3-70B-Instruct): accuracy: 83.3%, tokenefficiency: Not reported
    HumanEval+ (LLaMA3-70B-Instruct): accuracy: 74.6%, tokenefficiency: Not reported
    MBPP+ (LLaMA3-70B-Instruct): accuracy: 70.4%, tokenefficiency: Not reported

    HumanEval (GPT-3.5-Turbo): accuracy: 74.6%, tokenefficiency: Not reported
    MBPP-sanitized (GPT-3.5-Turbo): accuracy: 86.0%, tokenefficiency: Not reported
    HumanEval+ (GPT-3.5-Turbo): accuracy: 68.5%, tokenefficiency: Not reported
    MBPP+ (GPT-3.5-Turbo): accuracy: 73.7%, tokenefficiency: Not reported

    LiveCodeBench (LLaMA3.1-8B-Instruct): accuracy: 28.0%, tokenefficiency: 241.89 tokens (average intermediate tokens)
    LiveCodeBench (LLaMA3.1-70B-Instruct): accuracy: 49.0%, tokenefficiency: 186.61 tokens (average intermediate tokens)
    LiveCodeBench (GPT-3.5-Turbo): accuracy: 40.75%, tokenefficiency: Not reported

    HumanEval (CGO-variant, LLaMA3.1-70B-Instruct): accuracy: 79.27%, tokenefficiency: Not reported
    LiveCodeBench (CGO-variant, LLaMA3.1-70B-Instruct): accuracy: 48.5%, tokenefficiency: Not reported

Notes:
- ""tokenefficiency"" is reported as the average number of intermediate tokens generated per problem for CGO, as provided in the paper.
- If not explicitly reported for a dataset/model combination, ""Not reported"" is used as per instructions."
effective-reinforcement-learning-for-reasoning-in-language-models,"method: DASH reduces redundancy in token usage by combining two main strategies: preemptive sampling and gradient filtering. Preemptive sampling decouples the batch sizes for inference and backpropagation, allowing the system to sample a large batch of trajectories in a single, efficient inference pass, and then perform gradient updates in smaller, more manageable batches. This approach minimizes repeated sampling and redundant computation. Gradient filtering further reduces redundancy by dropping samples with small advantage estimates, ensuring that only informative samples contribute to the gradient update. Together, these strategies significantly decrease the number of redundant tokens processed during training, leading to an 83% reduction in training time compared to standard on-policy RL methods like GRPO, without sacrificing accuracy.

algorithm-pseudocode:
```
Input: Prompt set D, model πθ, batch sizes M_infer (large), M_train (small), advantage threshold τ

1. For each training iteration:
    a. Preemptive Sampling:
        i. Sample a large batch of M_infer prompts {x1, ..., xM_infer}
        ii. For each xi, generate response ˆyi using πθ
        iii. Store (xi, ˆyi) pairs in cache
    b. For each training step:
        i. Select a mini-batch of M_train samples from cache
        ii. For each (xi, ˆyi) in mini-batch:
            - Compute reward ri = R(xi, ˆyi)
            - Estimate advantage Ai = ri - mean({rj | xj = xi in group})
        iii. Gradient Filtering:
            - Filter out samples where |Ai| < τ
        iv. Compute policy gradient update using remaining samples:
            ∇θJ(θ) ≈ (1/N) Σ ∇θ log πθ(ˆyi|xi) * Ai
        v. Update model parameters θ ← θ + α ∇θJ(θ)
```

datasets:

    MATH (Qwen2.5-0.5B): accuracy: 27.2%, tokenefficiency: 83% reduction in training time compared to GRPO
    MATH (Qwen2.5-1.5B): accuracy: 54.0%, tokenefficiency: 83% reduction in training time compared to GRPO
    MATH (Qwen2.5-3B): accuracy: 64.6%, tokenefficiency: 83% reduction in training time compared to GRPO
    GSM8K (Qwen2.5-0.5B): accuracy: 31.1%, tokenefficiency: 83% reduction in training time compared to GRPO
    GSM8K (Qwen2.5-1.5B): accuracy: 58.8%, tokenefficiency: 83% reduction in training time compared to GRPO
    GSM8K (Qwen2.5-3B): accuracy: 64.6%, tokenefficiency: 83% reduction in training time compared to GRPO
    MBPP+ (Qwen2.5-0.5B, pass@1): accuracy: 11.4%, tokenefficiency: 53% reduction in training time compared to GRPO
    MBPP+ (Qwen2.5-0.5B, pass@8): accuracy: 40.4%, tokenefficiency: 53% reduction in training time compared to GRPO

Notes:
- ""tokenefficiency"" is reported as reduction in training time, which directly reflects reduced redundant token usage.
- If a dataset or metric is not listed, it was Not reported."
distilling-the-implicit-multi-branch-structure-in-llms-reasoning-via-reinforcement-learning,"method: RLKD (Reinforcement Learning-based Knowledge Distillation) reduces redundancy in token usage by distilling the implicit multi-branch structure of authentic reasoning from teacher to student LLMs. Instead of training the student to mimic the teacher's output token-by-token (as in SFT), RLKD uses a Generative Structure Reward Model (GSRM) to decompose reasoning paths into meta-reasoning and solving steps. The GSRM provides structured rewards based on the alignment of these steps between teacher and student, guiding the student to learn how to select and solve sub-problems at each step. This approach enables the student to sample from multiple potential reasoning paths, reducing redundant or rote token generation and promoting efficient, authentic reasoning.

algorithm-pseudocode:
```
Algorithm 1: Structured Reward Mechanism
Initialize r ← 0; // Total reward accumulator
foreach index i ∈ {1, 2, ..., min(n, m)} do
    Initialize temporary reward v ← 0; // Step-wise reward score
    if Match(Mt_i, Ms_i) then
        v ← 1; // Base score for matched meta-reasoning
        if Not Match(Qt_i, Qs_i) then
            v ← v × 0.5; // 50% penalty for question mismatch
        end
        if Not Match(At_i, As_i) then
            v ← v × 0.5; // Additional 50% penalty for answer mismatch
        end
    else
        Break; // Encountering mismatched meta-reasoning, exit
    end
    r ← r + v; // Accumulate step contribution
end
return r; // Final reward between sequences
```

datasets:

    AIME24: accuracy: 23.3% (Qwen2.5-Math-7B-RLKD-Zero, pass@1), tokenefficiency: Not reported

    MATH-500: accuracy: 74.4% (Qwen2.5-Math-7B-RLKD-Zero, pass@1), tokenefficiency: Not reported

    GPQA-Diamond: accuracy: 34.9% (Qwen2.5-Math-7B-RLKD-Zero, pass@1), tokenefficiency: Not reported

    AIME24: accuracy: 53.3% (DeepSeek-R1-Distill-Qwen-7B-RLKD, pass@1), tokenefficiency: Not reported

    MATH-500: accuracy: 94.2% (DeepSeek-R1-Distill-Qwen-7B-RLKD, pass@1), tokenefficiency: Not reported

    GPQA-Diamond: accuracy: 54.5% (DeepSeek-R1-Distill-Qwen-7B-RLKD, pass@1), tokenefficiency: Not reported

Note: All accuracy values are reported as pass@1 unless otherwise specified. Token efficiency is not reported in the paper."
scaling-over-scaling-exploring-test-time-scaling-pareto-in-large-reasoning-models,"method: The Test-Time Scaling Performance Model (TTSPM) reduces redundancy in token usage by theoretically modeling the diminishing returns of increasing the number of generations (scaling units) during inference in large reasoning models. By quantifying the probability of success for both parallel and sequential scaling strategies, TTSPM derives a unified upper bound (saturation point) for the scaling budget. This bound identifies the point (scaling Pareto) beyond which additional generations yield negligible performance improvements, thus enabling practitioners to avoid unnecessary token consumption and allocate computational resources more efficiently.

algorithm-pseudocode:
```
Input: Model M, problem q, scaling strategy (parallel or sequential), maximum scaling budget N_max, performance threshold ε

1. Estimate px:
   - For parallel scaling: px = probability a single sampled answer is correct (psample)
   - For sequential scaling: px = probability of self-correction in one round (prethink)

2. Estimate Fmax: maximum achievable performance for the task/model

3. Compute saturation point N*:
   N* = ceil( ln(ε / (Fmax * px)) / ln(1 - px) )

4. For N in 1 to min(N*, N_max):
     - For parallel scaling: generate N independent solutions, select final answer via majority voting or verifier
     - For sequential scaling: iteratively refine answer up to N rounds
     - If marginal performance gain ΔF(N) < ε: break

5. Output: Final answer, N* (optimal scaling budget), and performance metrics
```

datasets:

    AIME 2024: accuracy: 53.3%, tokenefficiency: Not reported
    AIME 2025: accuracy: 56.7%, tokenefficiency: Not reported
    MATH-500: accuracy: 83.6%, tokenefficiency: Not reported
    GPQA: accuracy: 39.4%, tokenefficiency: Not reported

Notes:
- All accuracy values are for DeepSeek-R1-Distill-Qwen-1.5B with parallel scaling at N=32, as reported in Table 1.
- Tokenefficiency is not explicitly reported in the paper."
continuous-chain-of-thought-enables-parallel-exploration-and-reasoning,"method: The method, called CoT2 (Chain-of-Thought with Continuous Tokens), reduces redundancy in token usage by allowing the model to represent and process multiple reasoning paths in parallel using continuous-valued tokens. Instead of sampling a single discrete token at each step, CoT2 forms a convex combination (weighted sum) of all vocabulary token embeddings according to the model's softmax output, effectively superposing multiple possible next states. This enables the model to track and aggregate all possible reasoning traces in a single forward pass, eliminating the need for repeated sampling to approximate the final output distribution. The method also introduces multi-token sampling (CoT2-MTS), where K discrete tokens are sampled and averaged at each step, further reducing the number of rollouts required to approximate the output distribution, thus improving token efficiency.

algorithm-pseudocode:
```
# Base CoT2 Inference
for t in 1 to m-1:
    α_t = LMθ(· | z_{<t}, X)  # softmax over vocabulary
    z_t = E^T α_t             # continuous token: convex combination of embeddings
    append z_t to prefix

# At final step
α_m = LMθ(· | z_{<m}, X)
Sample z_m from α_m          # discrete output

# CoT2-MTS (Multi-Token Sampling) Inference
for t in 1 to m-1:
    Sample K tokens {e_{i1}, ..., e_{iK}} from α_t
    z_t = (1/K) * sum_{r=1}^K e_{ir}  # average embeddings
    append z_t to prefix

# At final step
Sample z_m from α_m

# CSFT (Continuous Supervised Fine-Tuning) Training
For each training example:
    For t = 1 to m-1:
        Compute loss L_cont(θ; X, t) = D(α*_t || α_t)  # D: cross-entropy/KL
    At t = m:
        Compute loss L_cont(θ; X, m) = -log LMθ(z*_m | z_{<m}, X)
    Total loss: L_CSFT(θ; X) = sum_{t=1}^m L_cont(θ; X, t)
```

datasets:

    MNNS (Minimum Non-Negative Sum):
        accuracy: 49.01% (CoT2-MTS, K=1, SFT+GRPO, d=24)
        tokenefficiency: Not reported

        accuracy: 52.60% (CoT2-MTS, K=3, SFT+GRPO, d=24)
        tokenefficiency: Not reported

        accuracy: 49.69% (CoT2-MTS, K=6, SFT+GRPO, d=24)
        tokenefficiency: Not reported

        accuracy: 51.61% (CoT2-MTS, K=1, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 55.66% (CoT2-MTS, K=3, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 50.38% (CoT2-MTS, K=6, SFT+GRPO, d=32)
        tokenefficiency: Not reported

    ProsQA:
        accuracy: 93.83% (CoT2, K=6, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 94.09% (CoT2, K=8, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 94.21% (CoT2, K=12, SFT+GRPO, d=32)
        tokenefficiency: Not reported

    ProntoQA:
        accuracy: 76.15% (CoT2, K=6, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 76.66% (CoT2, K=8, SFT+GRPO, d=32)
        tokenefficiency: Not reported

        accuracy: 77.64% (CoT2, K=12, SFT+GRPO, d=32)
        tokenefficiency: Not reported

    (Additional datasets and results are present for discrete CoT and other variants, but only CoT2 token redundancy reduction results are listed here.)

Note: Token efficiency values are not reported in the paper."
system-1-5-reasoning-traversal-in-language-and-latent-spaces-with-dynamic-shortcuts,"method: System-1.5 Reasoning reduces token redundancy by introducing dynamic shortcut mechanisms in the latent space of large language models. It adaptively allocates computation across reasoning steps using two types of shortcuts: (1) model depth shortcut (DS), which allows non-critical tokens to exit early via lightweight adapter branches while critical tokens continue through deeper Transformer layers, and (2) step shortcut (SS), which enables the model to reuse hidden states across decoding steps, skipping trivial steps and avoiding redundant recomputation. This dual shortcut approach is trained via a two-stage distillation process: first aligning language-space chain-of-thought (CoT) reasoning with latent-space reasoning, and then learning shortcut execution paths guided by stepwise reasoning criticality. As a result, System-1.5 Reasoning significantly reduces the number of generated tokens and computational overhead without sacrificing reasoning accuracy.

algorithm-pseudocode:
```
Input: Input sequence X = ⟨x1, ..., xT⟩
Initialize: H0 = Embed(X)
for t = 1 to T do
    for l = 1 to L do
        w = Rl(hl-1,t)  // Router output (sigmoid)
        // Depth shortcut (DS) during training
        h_ds = gl-1(hl-1,t) * w + fl(hl-1,t) * (1 - w)
        // Step shortcut (SS) during training
        if t > 1:
            h_ss = gl(hl,t-1) * w + fl(hl-1,t) * (1 - w)
        // Combined shortcut (training)
        hsystem-1.5-training_l,t = h_ds + h_ss
        // Inference: Early exit based on threshold λdepth
        if Rl(hl-1,t) > λdepth:
            hsystem-1.5-ds-inference_l,t = gl-1(hl-1,t)
            // Step shortcut: copy hidden state to next step
            h_l,t+1 = hsystem-1.5-ds-inference_l,t
            break
        else:
            hsystem-1.5-ds-inference_l,t = fl(hl-1,t)
    end for
end for
// Output: Final answer generated from last hidden state
```

datasets:

    GSM8K: accuracy: 46.66%, tokenefficiency: 92.31% reduction in token generation

    GSM-HARD: accuracy: 38.28%, tokenefficiency: Not reported

    StrategyQA: accuracy: 48.61%, tokenefficiency: 96.15% reduction in token generation"
when-reasoning-meets-compression-benchmarking-compressed-large-reasoning-models-on-complex-reasoning-tasks,"method: The paper benchmarks three main methods for reducing redundancy in token usage in large reasoning models (LRMs): quantization, distillation, and pruning. Quantization reduces the number of bits used to represent model weights, thus maintaining parameter count but lowering memory and compute requirements. Distillation transfers knowledge from a large teacher model to a smaller student, reducing parameter count and potentially output length. Pruning removes weights (setting them to zero), creating sparse models that can generate shorter, less redundant outputs. The study finds that across all methods, shorter outputs (i.e., less verbose reasoning chains) consistently yield higher accuracy, indicating that these compression techniques not only reduce model size or compute but also encourage more concise, less redundant token usage during inference.

algorithm-pseudocode:
Quantization (Dynamic Quantization for MoE layers):
```
for each MoE layer in model:
    for each weight tensor W in layer:
        quantize W to N bits (N = 2.51, 1.73, or 1.58)
        store quantized W
```

Distillation (Black-box, SFT-based):
```
for each input x in training set:
    y_teacher = TeacherModel(x)
    train StudentModel to minimize loss(StudentModel(x), y_teacher)
```

Pruning (SparseGPT, unstructured pruning):
```
for each layer in StudentModel:
    compute importance scores for weights
    prune (set to zero) a percentage p of lowest-importance weights (p = 10%, 30%, ..., 80%)
```

datasets:

    AIME 2024:
        DeepSeek-R1: accuracy: 73.3%, tokenefficiency: Not reported
        DeepSeek-R1 2.51-bit: accuracy: 76.7%, tokenefficiency: Not reported
        DeepSeek-R1 1.73-bit: accuracy: 66.7%, tokenefficiency: Not reported
        DeepSeek-R1 1.58-bit: accuracy: 66.7%, tokenefficiency: Not reported
        R1-Distill-Llama 70B: accuracy: 63.3%, tokenefficiency: Not reported
        R1-Distill-Llama 70B 50% sparse: accuracy: 26.7%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B: accuracy: 66.7%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B 50% sparse: accuracy: 30.0%, tokenefficiency: Not reported

    FOLIO:
        DeepSeek-R1: accuracy: 76.4%, tokenefficiency: Not reported
        DeepSeek-R1 2.51-bit: accuracy: 77.8%, tokenefficiency: Not reported
        DeepSeek-R1 1.73-bit: accuracy: 78.3%, tokenefficiency: Not reported
        DeepSeek-R1 1.58-bit: accuracy: 75.4%, tokenefficiency: Not reported
        R1-Distill-Llama 70B: accuracy: 78.8%, tokenefficiency: Not reported
        R1-Distill-Llama 70B 50% sparse: accuracy: 70.9%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B: accuracy: 82.3%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B 50% sparse: accuracy: 75.4%, tokenefficiency: Not reported

    Temporal Sequences of BIG-Bench Hard:
        DeepSeek-R1: accuracy: 99.6%, tokenefficiency: Not reported
        DeepSeek-R1 2.51-bit: accuracy: 100.0%, tokenefficiency: Not reported
        DeepSeek-R1 1.73-bit: accuracy: 99.6%, tokenefficiency: Not reported
        DeepSeek-R1 1.58-bit: accuracy: 94.0%, tokenefficiency: Not reported
        R1-Distill-Llama 70B: accuracy: 100.0%, tokenefficiency: Not reported
        R1-Distill-Llama 70B 50% sparse: accuracy: 97.2%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B: accuracy: 100.0%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B 50% sparse: accuracy: 96.0%, tokenefficiency: Not reported

    MuSiQue:
        DeepSeek-R1: accuracy: EM: 17.0%, F1: 27.51%, tokenefficiency: Not reported
        DeepSeek-R1 2.51-bit: accuracy: EM: 17.0%, F1: 24.43%, tokenefficiency: Not reported
        DeepSeek-R1 1.73-bit: accuracy: EM: 15.0%, F1: 22.11%, tokenefficiency: Not reported
        DeepSeek-R1 1.58-bit: accuracy: EM: 14.0%, F1: 22.34%, tokenefficiency: Not reported
        R1-Distill-Llama 70B: accuracy: EM: 13.0%, F1: 21.80%, tokenefficiency: Not reported
        R1-Distill-Llama 70B 50% sparse: accuracy: EM: 6.0%, F1: 12.75%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B: accuracy: EM: 1.0%, F1: 9.38%, tokenefficiency: Not reported
        R1-Distill-Qwen 32B 50% sparse: accuracy: EM: 3.0%, F1: 9.29%, tokenefficiency: Not reported

Note: For all datasets, token efficiency (percentage) is Not reported. However, the paper provides qualitative evidence that shorter outputs (fewer tokens) correlate with higher accuracy, indicating reduced redundancy, but no explicit percentage values are given."
an-empirical-study-of-llm-reasoning-ability-under-strict-output-length-constraint,"method: The paper investigates two methods to reduce redundancy in token usage for LLM reasoning under strict output length constraints: (1) Directly Terminating, which simply truncates the output at a specified token budget, and (2) Early Stopping, which interrupts the reasoning process several tokens before the budget is reached and injects a concluding message prompting the model to output the final answer concisely. The Early Stopping method reduces redundancy by explicitly signaling the model to conclude its reasoning and provide the answer within a small, fixed number of tokens (α), thus encouraging more efficient use of the remaining token budget and minimizing incomplete or verbose outputs.

algorithm-pseudocode:
```
Input: question, prompt_style, token_budget, α
1. Construct model input with prompt_style and question.
2. Append token budget implication to prompt (for early stopping).
3. Initialize output_tokens = []
4. For t in 1 to token_budget - α:
      Generate next token with LLM; append to output_tokens.
      If LLM finishes reasoning early, break.
5. If output_tokens length < token_budget - α:
      Extract final answer from output_tokens.
      Return final answer.
6. Else:
      Append concluding message: ""Time's Up! Therefore, the final answer is:""
      For t in 1 to α:
          Generate next token with LLM; append to output_tokens.
          If LLM outputs final answer, break.
      Extract final answer from tokens after concluding message.
      Return final answer.
```

datasets:

    GSM8K: accuracy: 95.9%, tokenefficiency: Not reported

    MATH500: accuracy: 83.2%, tokenefficiency: Not reported

Notes:
- The above accuracy values are for Qwen-2.5-72B model with step-by-step prompt style and early stopping, as reported in Table 1.
- Tokenefficiency (percentage of tokens used for correct answers or reduction in redundant tokens) is not explicitly reported in the paper for any dataset."
autol2s-auto-long-short-reasoning-for-efficient-large-language-models,"method: This survey categorizes methods for reducing redundancy in token usage during LLM reasoning into three main approaches: (1) Model-based efficient reasoning, which uses reinforcement learning (RL) with length-based rewards or supervised fine-tuning (SFT) on variable-length Chain-of-Thought (CoT) data to train models to generate concise reasoning steps; (2) Reasoning output-based efficient reasoning, which compresses reasoning steps into latent representations or dynamically prunes/terminates reasoning during inference using reward, confidence, or consistency criteria; and (3) Input prompts-based efficient reasoning, which employs prompt engineering or routing strategies to explicitly constrain or adapt reasoning length based on input properties. These methods aim to maintain or minimally impact accuracy while significantly reducing unnecessary or verbose token generation, thus mitigating the ""overthinking phenomenon"" and improving computational efficiency.

algorithm-pseudocode:
1. RL with Length Reward Design (Model-based)
```
for each training sample (x, y_gt):
    generate reasoning output y_pred using current policy π_θ
    compute reward r:
        if y_pred correct:
            r = base_reward - α * length(y_pred)
        else:
            r = penalty
    update π_θ using RL optimizer (e.g., PPO, PG) to maximize expected reward
```

2. SFT with Variable-Length CoT Data (Model-based)
```
collect dataset D = {(x, y_short)} where y_short is concise reasoning (via compression, sampling, or prompt constraints)
fine-tune LLM on D using standard SFT (minimize loss between model output and y_short)
```

3. Latent Representation Compression (Reasoning Output-based)
```
for each reasoning step:
    encode intermediate reasoning into latent token(s) (e.g., via VQ-VAE or hidden state projection)
    use latent tokens as input for next step or for final answer generation
train model to align outputs with compressed latent representations
```

4. Dynamic Reasoning Paradigm during Inference (Reasoning Output-based)
```
initialize N candidate reasoning paths
for each path:
    generate next step
    evaluate with reward/confidence/consistency model
    if score < threshold or path is redundant:
        terminate path early
select best path(s) for final answer
```

5. Prompt-Guided Efficient Reasoning (Input Prompts-based)
```
for each input x:
    estimate or set token/step budget B
    construct prompt: ""Please answer using less than B tokens/steps.""
    generate reasoning output constrained by prompt
```

6. Routing by Prompt Attributes (Input Prompts-based)
```
for each input x:
    compute difficulty/uncertainty score (via classifier or model-internal metric)
    if score < threshold:
        route to fast/concise model
    else:
        route to full/strong reasoning model
```

datasets:
dataset1: Not reported
dataset2: Not reported
...(add as many datasets as applicable)

(Note: The survey provides a taxonomy and qualitative comparison of methods, but does not report specific accuracy or token efficiency values for any dataset. For all methods and datasets, accuracy and token efficiency are ""Not reported"".)"
stepwise-informativeness-search-for-efficient-and-effective-llm-reasoning,"method: The Stepwise Informativeness Search method reduces redundancy in token usage by guiding large language models (LLMs) to generate step-by-step rationales that are both accurate and concise. It does so by (1) proactively referencing underutilized prior reasoning steps to ensure valuable intermediate information is leveraged, and (2) minimizing redundancy by filtering out new steps that are highly similar to existing ones. The method employs two main heuristics during inference-time tree search: grounding-guided selection, which prioritizes candidate steps that pay higher attention to underutilized steps, and novelty-guided selection, which encourages steps with novel conclusions using a trigram-based similarity filter. Additionally, a self-grounding strategy prompts the LLM to explicitly cite relevant prior steps as premises for each deduction, further reducing irrelevant or repeated content and improving token efficiency.

algorithm-pseudocode:
```
Input: Query x, beam size N, sample size k, thresholds τ (grounding), θ (novelty), weight α
Initialize: Candidate set C0 = {[]}

For t = 1 to T (max steps):
    For each sequence s1:t-1 in Ct-1:
        Generate k candidate continuations st from P(st | s1:t-1, x)
        For each candidate si_1:t:
            # Identify underutilized steps
            For each prior step sj in {s1, ..., st-2}:
                Extract conclusion cj
                Compute InfoGain(sj) = 1 - max_{m=j+1,...,t-1} Sim_tri(cj, sm)
            It = {st-1} ∪ {sj | InfoGain(sj) > τ}
            # Compute attention-based grounding score
            γa(si_t) = mean attention of si_t over It
            γG(s1:t) = log ∏_{i=1}^t P(si | s1:i-1, x) + α * γa(si_t)
            # Compute novelty score
            Extract conclusions {ci_1, ..., ci_t}
            N(si_t) = 1 - max_{j=1,...,t-1} Sim_tri(ci_t, ci_j)
            If N(si_t) ≤ θ:
                γN(s1:t) = -100  # Filter out low-novelty candidates
            Else:
                γN(s1:t) = γG(s1:t)
    Ct = Select top N sequences from all candidates in Ct based on γN(s1:t)
    If stopping criterion met (e.g., answer found or max steps reached):
        break

# Self-grounding strategy (optional): At each step, prompt LLM to generate ""[Step-i] From <source>, <deduction>.""
Output: Best rationale sequence from final candidate set
```

datasets:

    FOLIO: accuracy: 51.96%, tokenefficiency: 53.2% (relative to baseline, see Table 3: 588/1105 tokens)
    ProofWriter: accuracy: 53.67%, tokenefficiency: 55.0% (1023/1861 tokens)
    MMLU-Pro: accuracy: 33.93%, tokenefficiency: 61.2% (1001/1636 tokens)
    GPQA-Diamond: accuracy: 24.24%, tokenefficiency: Not reported
    Phi-4 (FOLIO): accuracy: 76.67%, tokenefficiency: Not reported
    Phi-4 (ProofWriter): accuracy: 77.94%, tokenefficiency: Not reported
    Phi-4 (MMLU-Pro): accuracy: 72.86%, tokenefficiency: Not reported
    DeepSeek-R1-Distill-Llama-8B (FOLIO): accuracy: 70.10%, tokenefficiency: 53.2% (588/1105 tokens)
    DeepSeek-R1-Distill-Llama-8B (ProofWriter): accuracy: 66.50%, tokenefficiency: 55.0% (1023/1861 tokens)
    DeepSeek-R1-Distill-Llama-8B (MMLU-Pro): accuracy: 47.50%, tokenefficiency: 61.2% (1001/1636 tokens)

Notes:
- Token efficiency is calculated as (average tokens used by informativeness search) / (average tokens used by few-shot CoT) × 100%, as reported in Table 3.
- If a dataset or model combination is not listed above, the information was not reported."
