Team Cohere, :, Aakanksha and 227 more,neither
Done Is Better than Perfect: Unlocking Efficient Reasoning by Structured Multi-Turn Decomposition,both,,
Reasoning Meets Personalization: Unleashing the Potential of Large Reasoning Model for Personalized Generation,both,,
MilChat: Introducing Chain of Thought Reasoning and GRPO to a Multimodal Small Language Model for Remote Sensing,both,,
Large Language Model-driven Security Assistant for Internet of Things via Chain-of-Thought,both,,
AdaCoT: Pareto-Optimal Adaptive Chain-of-Thought Triggering via Reinforcement Learning,both,,
Thinker: Learning to Think Fast and Slow,both,,
Value-Guided Search for Efficient Chain-of-Thought Reasoning,both,,
Distilling LLM Agent into Small Models with Retrieval and Code Tools,both,,
AgentThink: A Unified Framework for Tool-Augmented Chain-of-Thought Reasoning in Vision-Language Models for Autonomous Driving,both,,
Holistic Capability Preservation: Towards Compact Yet Comprehensive Reasoning Models,both,,
When Reasoning Meets Compression: Benchmarking Compressed Large Reasoning Models on Complex Reasoning Tasks,both,,
GRPO-LEAD: A Difficulty-Aware Reinforcement Learning Approach for Concise Mathematical Reasoning in Language Models,both,,
Think When You Need: Self-Adaptive Chain-of-Thought Learning,both,,
Reason Like a Radiologist: Chain-of-Thought and Reinforcement Learning for Verifiable Report Generation,both,,
Synthetic Data Generation & Multi-Step RL for Reasoning & Tool Use,both,,
Efficient Reasoning for LLMs through Speculative Chain-of-Thought,both,,
Between Underthinking and Overthinking: An Empirical Study of Reasoning Length and correctness in LLMs,both,,
Synergizing RAG and Reasoning: A Systematic Review,both,,
From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,both,,
Efficient Reasoning Models: A Survey,both,,
Trade-offs in Large Reasoning Models: An Empirical Analysis of Deliberative and Adaptive Reasoning over Foundational Capabilities,both,,
Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,both,,
Adaptive Group Policy Optimization: Towards Stable Training and Token-Efficient Reasoning,both,,
FReM: A Flexible Reasoning Mechanism for Balancing Quick and Slow Thinking in Long-Context Question Answering,both,,
A Survey on the Optimization of Large Language Model-based Agents,both,,
Integrating Chain-of-Thought for Multimodal Alignment: A Study on 3D Vision-Language Learning,both,,
The First Few Tokens Are All You Need: An Efficient and Effective Unsupervised Prefix Fine-Tuning Method for Reasoning Models,both,,
Grounded Chain-of-Thought for Multimodal Large Language Models,both,,
OptMetaOpenFOAM: Large Language Model Driven Chain of Thought for Sensitivity Analysis and Parameter Optimization based on CFD,both,,
Harnessing the Reasoning Economy: A Survey of Efficient Reasoning for Large Language Models,both,,
Efficient Inference for Large Reasoning Models: A Survey,both,,
CoT2Align: Cross-Chain of Thought Distillation via Optimal Transport Alignment for Language Models with Different Tokenizers,both,,
Self-Training Elicits Concise Reasoning in Large Language Models,both,,
"Thinking Slow, Fast: Scaling Inference Compute with Distilled Reasoners",both,,
"When One LLM Drools, Multi-LLM Collaboration Rules",both,,
RaCT: Ranking-aware Chain-of-Thought Optimization for LLMs,both,,
RePrompt: Planning by Automatic Prompt Engineering for Large Language Models Agents,both,,
Towards Better Chain-of-Thought: A Reflection on Effectiveness and Faithfulness,both,,
Communication-Efficient Hybrid Language Model via Uncertainty-Aware Opportunistic and Compressed Transmission,chain_of_thought_reduction,,
HeteroSpec: Leveraging Contextual Heterogeneity for Efficient Speculative Decoding,chain_of_thought_reduction,,
EfficientLLM: Efficiency in Large Language Models,chain_of_thought_reduction,,
ThinkLess: A Training-Free Inference-Efficient Method for Reducing Reasoning Redundancy,chain_of_thought_reduction,,
PixelThink: Towards Efficient Chain-of-Pixel Reasoning,chain_of_thought_reduction,,
Thinking Short and Right Over Thinking Long: Serving LLM Reasoning Efficiently and Accurately,chain_of_thought_reduction,,
Efficient Long CoT Reasoning in Small Language Models,chain_of_thought_reduction,,
TrimR: Verifier-based Training-Free Thinking Compression for Efficient Test-Time Scaling,chain_of_thought_reduction,,
ConciseRL: Conciseness-Guided Reinforcement Learning for Efficient Reasoning Models,chain_of_thought_reduction,,
The Overthinker's DIET: Cutting Token Calories with DIfficulty-AwarE Training,chain_of_thought_reduction,,
"Think Silently, Think Fast: Dynamic Latent Compression of LLM Reasoning Chains",chain_of_thought_reduction,,
SelfBudgeter: Adaptive Token Allocation for Efficient LLM Reasoning,chain_of_thought_reduction,,
First Finish Search: Efficient Test-Time Scaling in Large Language Models,chain_of_thought_reduction,,
Learn to Reason Efficiently with Adaptive Length-based Reward Shaping,chain_of_thought_reduction,,
Prolonged Reasoning Is Not All You Need: Certainty-Based Adaptive Routing for Efficient LLM/MLLM Reasoning,chain_of_thought_reduction,,
Let LLMs Break Free from Overthinking via Self-Braking Tuning,chain_of_thought_reduction,,
LIFEBench: Evaluating Length Instruction Following in Large Language Models,chain_of_thought_reduction,,
"Concise Reasoning, Big Gains: Pruning Long Reasoning Trace with Difficulty-Aware Prompting",chain_of_thought_reduction,,
Reasoning Path Compression: Compressing Generation Trajectories for Efficient LLM Reasoning,chain_of_thought_reduction,,
HAPO: Training Language Models to Reason Concisely via History-Aware Policy Optimization,chain_of_thought_reduction,,
Thinkless: LLM Learns When to Think,chain_of_thought_reduction,,
VeriFastScore: Speeding up long-form factuality evaluation,chain_of_thought_reduction,,
Don't Overthink it. Preferring Shorter Thinking Chains for Improved LLM Reasoning,chain_of_thought_reduction,,
Efficient Large Language Model Inference with Neural Block Linearization,chain_of_thought_reduction,,
"A Token is Worth over 1,000 Tokens: Efficient Knowledge Distillation through Low-Rank Clone",chain_of_thought_reduction,,
The Energy Cost of Reasoning: Analyzing Energy Usage in LLMs with Test-time Compute,chain_of_thought_reduction,,
FlashThink: An Early Exit Method For Efficient Reasoning,chain_of_thought_reduction,,
DASH: Input-Aware Dynamic Layer Skipping for Efficient LLM Inference with Markov Decision Policies,chain_of_thought_reduction,,
Efficient Pretraining Length Scaling,chain_of_thought_reduction,,
"Think Deep, Think Fast: Investigating Efficiency of Verifier-free Inference-time-scaling Methods",chain_of_thought_reduction,,
Dynamic Early Exit in Reasoning Models,chain_of_thought_reduction,,
ShorterBetter: Guiding Reasoning Models to Find Optimal Inference Length for Efficient Reasoning,chain_of_thought_reduction,,
ThinkPrune: Pruning Long Chain-of-Thought of LLMs via Reinforcement Learning,chain_of_thought_reduction,,
"70% Size, 100% Accuracy: Lossless LLM Compression for Efficient GPU Inference via Dynamic-Length Float",chain_of_thought_reduction,,
Do We Truly Need So Many Samples? Multi-LLM Repeated Sampling Efficiently Scales Test-Time Compute,chain_of_thought_reduction,,
ZipR1: Reinforcing Token Sparsity in MLLMs,chain_of_thought_reduction,,
An Empirical Study of LLM Reasoning Ability Under Strict Output Length Constraint,chain_of_thought_reduction,,
Token-Efficient Prompt Injection Attack: Provoking Cessation in LLM Reasoning via Adaptive Token Compression,chain_of_thought_reduction,,
Concise Reasoning via Reinforcement Learning,chain_of_thought_reduction,,
The Curse of CoT: On the Limitations of Chain-of-Thought in In-Context Learning,chain_of_thought_reduction,,
xLSTM 7B: A Recurrent LLM for Fast and Efficient Inference,chain_of_thought_reduction,,
PENCIL: Long Thoughts with Short Memory,chain_of_thought_reduction,,
Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,chain_of_thought_reduction,,
Deconstructing Long Chain-of-Thought: A Structured Reasoning Optimization Framework for Long CoT Distillation,chain_of_thought_reduction,,
DNR Bench: Benchmarking Over-Reasoning in Reasoning LLMs,chain_of_thought_reduction,,
L1: Controlling How Long A Reasoning Model Thinks With Reinforcement Learning,chain_of_thought_reduction,,
Collaborative Speculative Inference for Efficient LLM Inference Serving,chain_of_thought_reduction,,
Unlocking Efficient Long-to-Short LLM Reasoning with Model Merging,chain_of_thought_reduction,,
Speculative MoE: Communication Efficient Parallel MoE Inference with Speculative Token and Expert Pre-scheduling,chain_of_thought_reduction,,
LServe: Efficient Long-sequence LLM Serving with Unified Sparse Attention,chain_of_thought_reduction,,
Learning to Stop Overthinking at Test Time,chain_of_thought_reduction,,
ChunkKV: Semantic-Preserving KV Cache Compression for Efficient Long-Context LLM Inference,chain_of_thought_reduction,,
LIMO: Less is More for Reasoning,chain_of_thought_reduction,,
EfficientLLM: Scalable Pruning-Aware Pretraining for Architecture-Agnostic Edge Language Models,chain_of_thought_reduction,,
CodeI/O: Condensing Reasoning Patterns via Code Input-Output Prediction,chain_of_thought_reduction,,
TokenSkip: Controllable Chain-of-Thought Compression in LLMs,chain_of_thought_reduction,,
LIMR: Less is More for RL Scaling,chain_of_thought_reduction,,
LightThinker: Thinking Step-by-Step Compression,chain_of_thought_reduction,,
From Hours to Minutes: Lossless Acceleration of Ultra Long Sequence Generation up to 100K Tokens,chain_of_thought_reduction,,
Chain of Draft: Thinking Faster by Writing Less,chain_of_thought_reduction,,
When More is Less: Understanding Chain-of-Thought Length in LLMs,chain_of_thought_reduction,,
CoT-Valve: Length-Compressible Chain-of-Thought Tuning,chain_of_thought_reduction,,
Scaling Inference-Efficient Language Models,chain_of_thought_reduction,,
Token-Budget-Aware LLM Reasoning,chain_of_thought_reduction,,
Do NOT Think That Much for 2+3=? On the Overthinking of o1-Like LLMs,chain_of_thought_reduction,,
SelectLLM: Query-Aware Efficient Selection Algorithm for Large Language Models,chain_of_thought_reduction,,
Plato: Plan to Efficiently Decode for Large Language Model Inference,chain_of_thought_reduction,,
Memory-Efficient LLM Training by Various-Grained Low-Rank Projection of Gradients,neither,,
Multi-Agent System for Comprehensive Soccer Understanding,neither,,
RoboOS: A Hierarchical Embodied Framework for Cross-Embodiment and Multi-Agent Collaboration,neither,,
Technical Report: Evaluating Goal Drift in Language Model Agents,neither,,
Program Semantic Inequivalence Game with Large Language Models,neither,,
Towards Multi-Agent Reasoning Systems for Collaborative Expertise Delegation: An Exploratory Design Study,neither,,
When repeats drive the vocabulary: a Byte-Pair Encoding analysis of T2T primate genomes,neither,,
ChronoSteer: Bridging Large Language Model and Time Series Foundation Model via Synthetic Data,neither,,
ServeGen: Workload Characterization and Generation of Large Language Model Serving in Production,neither,,
Sample Complexity of Distributionally Robust Average-Reward Reinforcement Learning,neither,,
DIF: A Framework for Benchmarking and Verifying Implicit Bias in LLMs,neither,,
Intelligent segmentation of Chinese address elements combining textual and spatial semantic features,neither,,
From archives to AI: Residential property data across three decades in Brunei Darussalam,neither,,
Quantitative Analysis of Performance Drop in DeepSeek Model Quantization,neither,,
DeepSeek vs. ChatGPT vs. Claude: A comparative study for scientific computing and scientific machine learning tasks,neither,,
DanceGRPO: Unleashing GRPO on Visual Generation,neither,,
Tests as Prompt: A Test-Driven-Development Benchmark for LLM Code Generation,neither,,
Social Sycophancy: A Broader Understanding of LLM Sycophancy,neither,,
Exploring Causes of Representational Similarity in Machine Learning Models,neither,,
Context-Free Synthetic Data Mitigates Forgetting,neither,,
Multilingual Test-Time Scaling via Initial Thought Transfer,neither,,
Large Language Model Driven Development of Turbulence Models,neither,,
Patterns and Mechanisms of Contrastive Activation Engineering,neither,,
Evaluating LLM Metrics Through Real-World Capabilities,neither,,
CEC-Zero: Chinese Error Correction Solution Based on LLM,neither,,
Aitomia: Your Intelligent Assistant for AI-Driven Atomistic and Quantum Chemical Simulations,neither,,
Fine-tuning a large language model for automating computational fluid dynamics simulations,neither,,
LAMeD: LLM-generated Annotations for Memory Leak Detection,neither,,
NL-Debugging: Exploiting Natural Language as an Intermediate Representation for Code Debugging,neither,,
Mitigating Cyber Risk in the Age of Open-Weight LLMs: Policy Gaps and Technical Realities,neither,,
On Membership Inference Attacks in Knowledge Distillation,neither,,
Video-SafetyBench: A Benchmark for Safety Evaluation of Video LVLMs,neither,,
Arrow: Adaptive Scheduling Mechanisms for Disaggregated LLM Inference Architecture,neither,,
When AI Co-Scientists Fail: SPOT-a Benchmark for Automated Verification of Scientific Research,neither,,
AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,neither,,
Multilingual Machine Translation with Quantum Encoder Decoder Attention-based Convolutional Variational Circuits,neither,,
InfantAgent-Next: A Multimodal Generalist Agent for Automated Computer Interaction,neither,,
EffiBench-X: A Multi-Language Benchmark for Measuring Efficiency of LLM-Generated Code,neither,,
Walking the Tightrope: Disentangling Beneficial and Detrimental Drifts in Non-Stationary Custom-Tuning,neither,,
Raw2Drive: Reinforcement Learning with Aligned World Models for End-to-End Autonomous Driving (in CARLA v2),neither,,
EuroCon: Benchmarking Parliament Deliberation for Political Consensus Finding,neither,,
LightRouter: Towards Efficient LLM Collaboration with Minimal Overhead,neither,,
NTIRE 2025 challenge on Text to Image Generation Model Quality Assessment,neither,,
Reasoning Models Don't Always Say What They Think,neither,,
Quantum State Preparation via Large-Language-Model-Driven Evolution,neither,,
REMEDI: Relative Feature Enhanced Meta-Learning with Distillation for Imbalanced Prediction,neither,,
TCP: a Benchmark for Temporal Constraint-Based Planning,neither,,
VIRAL: Vision-grounded Integration for Reward design And Learning,neither,,
On-Policy RL with Optimal Reward Baseline,neither,,
ZeroGUI: Automating Online GUI Learning at Zero Human Cost,neither,,
Vid2World: Crafting Video Diffusion Models to Interactive World Models,neither,,
Parallel Scaling Law for Language Models,neither,,
Table-R1: Region-based Reinforcement Learning for Table Understanding,neither,,
Is Your Prompt Safe? Investigating Prompt Injection Attacks Against Open-Source LLMs,neither,,
Toward Open Earth Science as Fast and Accessible as Natural Language,neither,,
Be Careful When Fine-tuning On Open-Source LLMs: Your Fine-tuning Data Could Be Secretly Stolen!,neither,,
Beyond Keywords: Evaluating Large Language Model Classification of Nuanced Ableism,neither,,
Model Merging in Pre-training of Large Language Models,neither,,
O$^2$-Searcher: A Searching-based Agent Model for Open-Domain Open-Ended Question Answering,neither,,
ManuSearch: Democratizing Deep Search in Large Language Models with a Transparent and Open Multi-Agent Framework,neither,,
Few-Shot Learning from Gigapixel Images via Hierarchical Vision-Language Alignment and Modeling,neither,,
AutoJudger: An Agent-Driven Framework for Efficient Benchmarking of MLLMs,neither,,
Are Reasoning Models More Prone to Hallucination?,neither,,
Generalizing Large Language Model Usability Across Resource-Constrained,neither,,
"Tsai, Yun-Da",neither,,
"Yu, Fangyuan",neither,,
Trans-EnV: A Framework for Evaluating the Linguistic Robustness of LLMs Against English Varieties,neither,,
Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,neither,,
Large Language Models for IT Automation Tasks: Are We There Yet?,neither,,
Language Specific Knowledge: Do Models Know Better in X than in English?,neither,,
Compliance-to-Code: Enhancing Financial Compliance Checking via Code Generation,neither,,
"Li, Yuanpeng",neither,,
Flow-GRPO: Training Flow Matching Models via Online RL,neither,,
X-MAS: Towards Building Multi-Agent Systems with Heterogeneous LLMs,neither,,
MPO: Multilingual Safety Alignment via Reward Gap Optimization,neither,,
Chain-of-Thought for Autonomous Driving: A Comprehensive Survey and Future Prospects,neither,,
NurValues: Real-World Nursing Values Evaluation for Large Language Models in Clinical Context,neither,,
SecReEvalBench: A Multi-turned Security Resilience Evaluation Benchmark for Large Language Models,neither,,
"Interpretable Traces, Unexpected Outcomes: Investigating the Disconnect in Trace-Based Knowledge Distillation",neither,,
Qwen3 Technical Report,neither,,
Robust LLM Fingerprinting via Domain-Specific Watermarks,neither,,
The Hallucination Tax of Reinforcement Finetuning,neither,,
WirelessMathBench: A Mathematical Modeling Benchmark for LLMs in Wireless Communications,neither,,
Do Large Language Models (Really) Need Statistical Foundations?,neither,,
Shifting AI Efficiency From Model-Centric to Data-Centric Compression,neither,,
Evaluating Text Creativity across Diverse Domains: A Dataset and Large Language Model Evaluator,neither,,
SlangDIT: Benchmarking LLMs in Interpretative Slang Translation,neither,,
Large Language Models in the Task of Automatic Validation of Text Classifier Predictions,neither,,
"Tsymbalov, Aleksandr",neither,,
Benchmarking and Rethinking Knowledge Editing for Large Language Models,neither,,
DeepRec: Towards a Deep Dive Into the Item Space with Large Language Model Based Recommendation,neither,,
Risk-aware Direct Preference Optimization under Nested Risk Measure,neither,,
Open-Det: An Efficient Learning Framework for Open-Ended Detection,neither,,
HCQA-1.5 @ Ego4D EgoSchema Challenge 2025,neither,,
Silencer: From Discovery to Mitigation of Self-Bias in LLM-as-Benchmark-Generator,neither,,
"Halloran, John",neither,,
Lossless Compression of Large Language Model-Generated Text via Next-Token Prediction,neither,,
The Tower of Babel Revisited: Multilingual Jailbreak Prompts on Closed-Source Large Language Models,neither,,
EduBench: A Comprehensive Benchmarking Dataset for Evaluating Large Language Models in Diverse Educational Scenarios,neither,,
SridBench: Benchmark of Scientific Research Illustration Drawing of Image Generation Model,neither,,
Towards A Generalist Code Embedding Model Based On Massive Data Synthesis,neither,,
IDEAL: Data Equilibrium Adaptation for Multi-Capability Language Model Alignment,neither,,
Efficient Agent Training for Computer Use,neither,,
Semantic segmentation with reward,neither,,
Let's Predict Sentence by Sentence,neither,,
Characterizing Bias: Benchmarking Large Language Models in Simplified versus Traditional Chinese,neither,,
WebDancer: Towards Autonomous Information Seeking Agency,neither,,
ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering,neither,,
LogisticsVLN: Vision-Language Navigation For Low-Altitude Terminal Delivery Based on Agentic UAVs,neither,,
Omni-R1: Do You Really Need Audio to Fine-Tune Your Audio LLM?,neither,,
WavReward: Spoken Dialogue Models With Generalist Reward Evaluators,neither,,
Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,neither,,
Towards Analyzing and Understanding the Limitations of VAPO: A Theoretical Perspective,neither,,
Ctrl-DNA: Controllable Cell-Type-Specific Regulatory DNA Design via Constrained RL,neither,,
Group-in-Group Policy Optimization for LLM Agent Training,neither,,
J4R: Learning to Judge with Equivalent Initial State Group Relative Policy Optimization,neither,,
SeedBench: A Multi-task Benchmark for Evaluating Large Language Models in Seed Science,neither,,
GUARD: Generation-time LLM Unlearning via Adaptive Restriction and Detection,neither,,
Adaptive Detoxification: Safeguarding General Capabilities of LLMs through Toxicity-Aware Knowledge Editing,neither,,
"Caption This, Reason That: VLMs Caught in the Middle",neither,,
From Large AI Models to Agentic AI: A Tutorial on Future Intelligent Communications,neither,,
Skywork Open Reasoner 1 Technical Report,neither,,
VAU-R1: Advancing Video Anomaly Understanding via Reinforcement Fine-Tuning,neither,,
A Mathematical Framework for AI-Human Integration in Work,neither,,
LLM-based Prompt Ensemble for Reliable Medical Entity Recognition from EHRs,neither,,
RLVR-World: Training World Models with Reinforcement Learning,neither,,
Large Means Left: Political Bias in Large Language Models Increases with Their Number of Parameters,neither,,
Practical Reasoning Interruption Attacks on Reasoning Large Language Models,neither,,
BioProBench: Comprehensive Dataset and Benchmark in Biological Protocol Understanding and Reasoning,neither,,
Keep Security! Benchmarking Security Policy Preservation in Large Language Model Contexts Against Indirect Attacks in Question Answering,neither,,
InfoDeepSeek: Benchmarking Agentic Information Seeking for Retrieval-Augmented Generation,neither,,
MMaDA: Multimodal Large Diffusion Language Models,neither,,
GUI-G1: Understanding R1-Zero-Like Training for Visual Grounding in GUI Agents,neither,,
L-MTP: Leap Multi-Token Prediction Beyond Adjacent Context for Large Language Models,neither,,
Align and Surpass Human Camouflaged Perception: Visual Refocus Reinforcement Fine-Tuning,neither,,
Expert Survey: AI Reliability & Security Research Priorities,neither,,
SIMCOPILOT: Evaluating Large Language Models for Copilot-Style Code Generation,neither,,
VARD: Efficient and Dense Fine-Tuning for Diffusion Models with Value-based RL,neither,,
HCRMP: A LLM-Hinted Contextual Reinforcement Learning Framework for Autonomous Driving,neither,,
Discovering Forbidden Topics in Language Models,neither,,
A Survey on the Application of Large Language Models in Scenario-Based Testing of Automated Driving Systems,neither,,
Reliably Bounding False Positives: A Zero-Shot Machine-Generated Text Detection Framework via Multiscaled Conformal Prediction,neither,,
A Data Synthesis Method Driven by Large Language Models for Proactive Mining of Implicit User Intentions in Tourism,neither,,
Disambiguation in Conversational Question Answering in the Era of LLM: A Survey,neither,,
Autocomp: LLM-Driven Code Optimization for Tensor Accelerators,neither,,
MetaMind: Modeling Human Social Thoughts with Metacognitive Multi-Agent Systems,neither,,
TrajMoE: Spatially-Aware Mixture of Experts for Unified Human Mobility Modeling,neither,,
AppealCase: A Dataset and Benchmark for Civil Case Appeal Scenarios,neither,,
University of Indonesia at SemEval-2025 Task 11: Evaluating State-of-the-Art Encoders for Multi-Label Emotion Detection,neither,,
Is (Selective) Round-To-Nearest Quantization All You Need?,neither,,
Judging Quality Across Languages: A Multilingual Approach to Pretraining Data Filtering with Language Models,neither,,
Defining Foundation Models for Computational Science: A Call for Clarity and Rigor,neither,,
On the Effect of Negative Gradient in Group Relative Deep Reinforcement Optimization,neither,,
"Kogan, Alex",neither,,
Benchmarking Retrieval-Augmented Multimomal Generation for Document Question Answering,neither,,
Think in Safety: Unveiling and Mitigating Safety Alignment Collapse in Multimodal Large Reasoning Model,neither,,
UniEval: Unified Holistic Evaluation for Unified Multimodal Understanding and Generation,neither,,
The Evolving Landscape of Generative Large Language Models and Traditional Natural Language Processing in Medicine,neither,,
Improving Assembly Code Performance with Large Language Models via Reinforcement Learning,neither,,
Reward Inside the Model: A Lightweight Hidden-State Reward Model for LLM's Best-of-N sampling,neither,,
On-Policy Optimization with Group Equivalent Preference for Multi-Programming Language Understanding,neither,,
UIShift: Enhancing VLM-based GUI Agents through Self-supervised Reinforcement Learning,neither,,
When Ethics and Payoffs Diverge: LLM Agents in Morally Charged Social Dilemmas,neither,,
Does Representation Intervention Really Identify Desired Concepts and Elicit Alignment?,neither,,
LLaDA 1.5: Variance-Reduced Preference Optimization for Large Language Diffusion Models,neither,,
$μ$-MoE: Test-Time Pruning as Micro-Grained Mixture-of-Experts,neither,,
SeRL: Self-Play Reinforcement Learning for Large Language Models with Limited Data,neither,,
Fundamental Limits of Game-Theoretic LLM Alignment: Smith Consistency and Preference Matching,neither,,
A Comprehensive Evaluation of Contemporary ML-Based Solvers for Combinatorial Optimization,neither,,
P2P: Automated Paper-to-Poster Generation and Fine-Grained Benchmark,neither,,
PM-KVQ: Progressive Mixed-precision KV Cache Quantization for Long-CoT LLMs,neither,,
VLA-RL: Towards Masterful and General Robotic Manipulation with Scalable Reinforcement Learning,neither,,
RICO: Improving Accuracy and Completeness in Image Recaptioning via Visual Reconstruction,neither,,
MEDAL: A Framework for Benchmarking LLMs as Multilingual Open-Domain Chatbots and Dialogue Evaluators,neither,,
ARB: A Comprehensive Arabic Multimodal Reasoning Benchmark,neither,,
RRTL: Red Teaming Reasoning Large Language Models in Tool Learning,neither,,
DailyQA: A Benchmark to Evaluate Web Retrieval Augmented LLMs Based on Capturing Real-World Changes,neither,,
Table Foundation Models: on knowledge pre-training for tabular learning,neither,,
TransBench: Benchmarking Machine Translation for Industrial-Scale Applications,neither,,
s3: You Don't Need That Much Data to Train a Search Agent via RL,neither,,
Visual Agentic Reinforcement Fine-Tuning,neither,,
MindVote: How LLMs Predict Human Decision-Making in Social Media Polls,neither,,
Implementing Long Text Style Transfer with LLMs through Dual-Layered Sentence and Paragraph Structure Extraction and Mapping,neither,,
Evaluating the Effectiveness of Black-Box Prompt Optimization as the Scale of LLMs Continues to Grow,neither,,
Toward Embodied AGI: A Review of Embodied AI and the Road Ahead,neither,,
Hierarchical Retrieval with Evidence Curation for Open-Domain Financial Question Answering on Standardized Documents,neither,,
VisualToolAgent (VisTA): A Reinforcement Learning Framework for Visual Tool Selection,neither,,
What Changed? Detecting and Evaluating Instruction-Guided Image Edits with Multimodal Large Language Models,neither,,
EmoBench-UA: A Benchmark Dataset for Emotion Detection in Ukrainian,neither,,
Optimization Problem Solving Can Transition to Evolutionary Agentic Workflows,neither,,
UFO-RL: Uncertainty-Focused Optimization for Efficient Reinforcement Learning Data Selection,neither,,
ChemPile: A 250GB Diverse and Curated Dataset for Chemical Foundation Models,neither,,
HBO: Hierarchical Balancing Optimization for Fine-Tuning Large Language Models,neither,,
R1dacted: Investigating Local Censorship in DeepSeek's R1 Language Model,neither,,
EasyMath: A 0-shot Math Benchmark for SLMs,neither,,
Addressing the Challenges of Planning Language Generation,neither,,
UniGen: Enhanced Training & Test-Time Strategies for Unified Multimodal Understanding and Generation,neither,,
Adversarial Semantic and Label Perturbation Attack for Pedestrian Attribute Recognition,neither,,
Proximalized Preference Optimization for Diverse Feedback Types: A Decomposed Perspective on DPO,neither,,
Emerging Properties in Unified Multimodal Pretraining,neither,,
SSR-Zero: Simple Self-Rewarding Reinforcement Learning for Machine Translation,neither,,
A Snapshot of Influence: A Local Data Attribution Framework for Online Reinforcement Learning,neither,,
Faster and Better LLMs via Latency-Aware Test-Time Scaling,neither,,
MIDB: Multilingual Instruction Data Booster for Enhancing Multilingual Instruction Synthesis,neither,,
The Real Barrier to LLM Agent Usability is Agentic ROI,neither,,
DoctorAgent-RL: A Multi-Agent Collaborative Reinforcement Learning System for Multi-Turn Clinical Dialogue,neither,,
Satori-SWE: Evolutionary Test-Time Scaling for Sample-Efficient Software Engineering,neither,,
Web-Shepherd: Advancing PRMs for Reinforcing Web Agents,neither,,
Advertising in AI systems: Society must be vigilant,neither,,
How Well Do Large Reasoning Models Translate? A Comprehensive Evaluation for Multi-Domain Machine Translation,neither,,
"Fixing 7,400 Bugs for 1$: Cheap Crash-Site Program Repair",neither,,
AGENTFUZZER: Generic Black-Box Fuzzing for Indirect Prompt Injection against LLM Agents,neither,,
Faster MoE LLM Inference for Extremely Large Models,neither,,
Neural Brain: A Neuroscience-inspired Framework for Embodied Agents,neither,,
Large Language Models for Computer-Aided Design: A Survey,neither,,
Pangu Light: Weight Re-Initialization for Pruning and Accelerating LLMs,neither,,
